GeneID	Name	49	50	51	SHAU	SHAU146	SHAU148	SHAU152	SHAU153	SHAU155	SHAU156	SHAU157	SHAU158	SHAU52	SHAU53	SHAU55	SHAU56	SHAU57	SHAU58	SHAU59	SHAU61	SHAU63	SHAU64	SHAU65	SHBX35	SHBX36	SHBX37	SHBX38	SHCE175	SHCE176	SHCE177	SHCE178	SHCE179	SHCE180	SHCE181	SHCE182	SHCE183	SHCE184	SHCE185	SHCE186	SHCE187	SHCE188	SHCE189	SHCE190	SHCE191	SHCE192	SHCE194	SHCE195	SHCE196	SHCE197	SHCE198
5216	PFN1 || Profilin 1	-1.561	0.466	0.317	-0.153	-1.743	-0.268	0.7	0.406	-0.037	1.027	-0.484	-1.223	-0.634	-0.572	-1.331	-0.922	-1.281	-1.488	-1.204	0.008	0.803	0.001	-0.629	1.07	-0.518	0.671	-0.693	0.547	0.365	-0.627	1.059	1.57	-0.954	0.048	-0.184	1.086	1.015	1.286	-0.257	0.8	0.044	0.307	-0.48	1.399	0.213	1.221	-0.207	0.932	-0.059	-0.33
6876	TAGLN || Transgelin	-5.406	2.035	1.079	0.163	-7.927	-2.653	-0.023	1.477	-5.896	-1.943	-6.812	-3.865	-3.108	-1.729	-0.842	-6.886	-0.724	-1.514	-1.399	-0.443	0.035	0.656	-1.226	0.554	-3.285	1.847	-2.466	2.52	3.125	1.054	1.791	4.161	-0.499	1.906	-3.175	3.246	2.889	2.847	-0.225	2.702	0.748	-0.233	-6.191	1.315	-2.725	3.441	3.027	2.364	2.858	-1.248
4209	MEF2D || Myocyte enhancer factor 2D	1.22	-0.36	-0.121	-0.41	0.537	0.532	-0.689	-0.737	-1.161	-0.252	1.315	0.739	0.758	0.499	-0.185	0.267	0.525	0.641	0.792	-1.699	-0.929	-0.654	-2.313	-0.174	1.744	0.243	0.822	-0.439	-0.463	0.411	-1.775	-1.383	-0.2	0.174	0.682	-0.919	-0.871	-1.962	0.397	-1.357	1.037	-1.113	0.854	-1.155	0.187	-0.759	0.224	-1.091	0.895	1.047
91351	DDX60L || DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like	0.49	-1.423	-0.959	-0.944	3.764	2.186	-0.327	0.769	1.219	-0.503	2.09	-0.311	0.228	-0.952	-0.124	2.184	-0.86	-1.235	1.311	-1.13	0.017	-0.163	-0.366	-1.169	1.81	1.358	1.266	-0.973	0.443	0.264	-0.349	-0.413	1.126	2.378	1.869	0.442	0.015	0.546	1.836	-1.736	-2.498	-0.573	1.968	0.235	2.005	-1.222	-0.459	-1.848	-0.096	2.548
26292	MYCBP || C-myc binding protein	-1.955	0.23	0.165	-0.153	-1.511	-0.233	1.347	0.515	-1.345	0.113	0.154	-1.563	-2.644	-1.073	-0.689	-1.561	0.284	-0.45	-1.155	0.91	0.089	0.263	1.352	0.554	-1.995	0.38	-0.936	0.402	0.17	-1.299	1.919	1.801	-0.837	-0.912	-0.422	0.105	0.64	1.136	-1.535	0.611	-2.26	0.307	-3.567	0.907	-1.986	0.311	-0.603	0.34	-1.498	-0.665
11010	GLIPR1 || GLI pathogenesis-related 1 (glioma)	-2.33	-0.124	-0.273	0.163	-2.188	-1.365	0.396	0.733	-1.423	-0.184	-1.626	-1.965	-0.744	-2.057	-0.292	-1.259	-0.694	-0.543	-0.944	-0.09	2.232	0.361	0.318	1.105	-1.383	3.344	0.637	0.192	1.211	-0.934	2.157	2.655	-0.876	0.08	-0.742	1.981	1.067	1.251	0.236	1.425	-0.917	0.664	-1.516	2.238	-0.018	1.381	0.368	1.507	0.371	-0.524
22925	"PLA2R1 || Phospholipase A2 receptor 1, 180kDa"	1.2595	-2.3505	-2.073	-1.8335	2.6335	2.447	-0.2515	-1.0995	-0.3375	-0.435	1.8575	1.4115	2.2715	-1.9535	-0.3535	2.4055	-0.6415	-0.297	2.495	-0.463	0.1425	-2.47	0.0195	-0.885	1.471	0.793	1.101	-0.149	-0.479	0.7325	-0.614	-0.066	0.8205	1.6855	1.4775	-0.6145	0.1445	0.061	1.874	-1.0545	-0.3945	0.17	1.1685	0.16	0.976	-1.5075	-0.315	-1.4695	-0.5915	1.1975
6611	SMS || Spermine synthase	-2.192	2.49	1.555	2.022	-2.555	-1.051	1.5	0.552	0.408	0.296	-3.097	-2.042	-2.401	0.93	-0.781	-2.005	-0.528	0.042	-2.615	0.4	1.16	2.456	0.563	1.23	-1.622	-0.063	-1.679	-0.116	0.534	-1.518	0.712	1.324	0.19	-1.699	-1.846	0.251	0.786	0.223	-1.256	0.223	-2.135	0.623	-0.403	0.427	-0.997	1.62	-0.387	0.137	-1.48	-2.854
8836	"GGH || Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)"	-1.344	0.264	0.432	0.895	-0.758	-0.233	1.443	0.86	1.402	0.822	-0.329	-0.389	-0.523	-2.195	-3.3	-1.366	-3.192	-3.815	-0.701	1.126	0.428	1.277	0.616	1.834	-1.396	1.771	0.208	0.159	-0.56	-2.161	1.023	1.049	-1.63	-0.44	-0.066	1.014	0.994	0.997	-0.912	0.8	-1.11	0.706	-1.792	1.806	0.195	1.237	-1.645	-0.104	-0.152	-1.883
317649	EIF4E3 || Eukaryotic translation initiation factor 4E family member 3	1.673	-0.714	-1.187	-1.142	1.696	0.794	-0.175	-0.501	0.199	-0.275	0.89	0.554	1.045	0.378	-0.17	1.634	-0.077	0.148	0.386	-0.404	-0.161	-0.637	-0.647	0.857	2.116	1.328	1.38	0.919	-0.664	1.01	-0.66	-0.341	0.333	-0.377	-0.267	-0.513	-1.027	-1.084	0.355	-0.345	1.688	0.041	1.45	-0.856	0.148	-2.18	1.122	-0.647	0.913	1.375
2217	"FCGRT || Fc fragment of IgG, receptor, transporter, alpha"	1.772	-1.0265	-1.1205	-1.033	1.1845	0.2015	-0.622	-2.1065	-0.1715	-1.497	0.5125	0.469	0.8685	0.7835	1.0895	1.625	1.36	1.006	1.2215	-1.0515	-1.697	-1.6355	-1.699	0.217	1.5445	-0.0855	1.194	-1.409	-0.468	1.835	-1.3365	-0.2905	0.8205	0.796	1.875	-0.1555	-0.678	-0.4945	2.0135	-0.6005	1.453	-1.084	0.948	-1.8145	0.7165	-1.1825	-0.1175	-0.277	1.895	2.6365
27258	"LSM3 || LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)"	-1.442	-0.057	-0.064	0.084	-1.763	0.045	1.214	1.078	0.094	-0.138	-1.258	-1.486	-0.567	-1.176	-1.178	-1.242	-1.582	-0.783	-0.776	0.498	0.589	0.443	0.511	1.052	-1.409	1.098	-0.164	-0.083	0.612	-0.232	1.169	1.57	-1.032	-0.849	-0.707	0.788	1.025	0.708	-0.762	0.535	-0.052	0.913	-0.359	1.171	-0.212	1.157	-0.1	0.57	-0.751	-0.524
50484	RRM2B || Ribonucleotide reductase M2 B (TP53 inducible)	0.558	-1.854	-0.95	-1.271	1.318	0.732	0.195	-0.438	-0.182	-2.092	-0.108	0.499	0.702	0.385	-0.56	1.429	-1.214	-1.216	1.107	-0.16	-1.082	-1.612	-1.165	-0.139	0.552	0.922	1.987	-0.885	-1.27	0.841	-0.871	-0.494	0.365	1.189	1.328	0.232	-0.158	-0.154	1.444	0.284	0.668	-0.328	0.749	0.313	0.882	-0.353	0.663	-0.837	0.922	1.55
55631	LRRC40 || Leucine rich repeat containing 40	-1.718	0.247	-0.102	0.776	-1.299	-0.843	0.548	0.08	-0.455	0.616	-0.852	-1.316	-0.567	-1.073	-0.75	-0.691	-1.191	-0.902	-1.155	0.361	0.5	0.705	1.23	0.732	0.906	0.686	0.508	-0.682	1.12	-0.422	0.62	0.643	-0.694	-0.582	-0.125	0.239	0.306	0.835	0.129	0.404	0.578	1.096	-0.088	0.355	-0.256	0.838	0.062	0.323	-0.321	-0.153
10957	PNRC1 || Proline-rich nuclear receptor coactivator 1	0.904	-2.165	-0.826	-1.221	0.595	0.515	-1.317	-2.315	-0.743	-2.148	0.561	0.6	-0.126	1.984	1.051	0.693	0.63	0.734	0.516	-2.876	-2.197	-2.617	-2.927	0.839	1.385	0.151	0.751	-1.895	0.235	0.235	-1.812	-1.673	0.45	0.111	1.287	0.024	-2.12	-1.512	0.623	-1.206	0.172	-0.233	1.008	-3.637	0.49	-1.558	0.026	-1.338	0.11	-0.118
5329	"PLAUR || Plasminogen activator, urokinase receptor"	-0.072	2.3045	0.7555	0.2975	-2.5065	-0.5365	-1.545	1.377	-1.0435	0.913	-1.587	-0.3035	-1.727	-0.054	-1.9795	-1.5255	-1.8975	-2.6975	0.402	0.2825	0.839	1.6125	0.484	1.168	-0.099	-0.051	-1.1575	0.847	1.693	0.279	1.992	2.098	-0.5575	0.19	-0.1905	0.752	1.4525	1.3495	-0.0855	0.1185	-1.579	0.108	-0.7885	0.985	0.01	1.6365	-0.1985	1.565	-0.657	-0.621
79902	NUP85 || Nucleoporin 85kDa	-0.614	2.119	0.66	1.429	-0.41	-0.808	1.005	1.695	0.303	2.558	-0.716	-0.25	-1.075	-0.779	-0.414	-0.958	-0.243	0.228	-0.669	2.636	1.839	1.866	2.492	0.981	-0.864	-0.536	-0.436	-0.633	0.144	-0.305	1.352	0.788	-1.11	-0.519	0.16	0.322	0.817	0.766	-0.698	0.289	-0.939	0.457	-0.634	1.315	-0.988	1.061	-0.279	0.044	-0.713	-0.365
10213	"PSMD14 || Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"	-0.732	0.905	0.584	0.579	-0.738	-0.912	0.263	1.096	0.486	0.753	-1.626	-0.682	-0.103	-0.106	-1.04	-0.567	-1.251	-1.381	-0.652	1.753	1.178	0.616	1.826	0.084	-1.103	0.625	-0.393	-0.617	0.091	-0.481	1.059	0.745	-0.72	-0.566	-0.623	0.489	1.15	0.512	-0.129	0.251	-0.875	-0.158	-0.502	0.655	-0.591	0.47	0.134	0.405	-0.545	-0.736
70	"ACTC1 || Actin, alpha, cardiac muscle 1"	-1.344	1.006	0.812	0.124	-1.937	-0.912	-0.441	-0.41	-0.795	-0.503	-1.452	-0.296	-0.943	-0.796	-0.781	-1.135	-0.679	-0.796	-1.95	0.361	0.035	0.05	-0.471	0.288	-0.172	-0.113	-1.251	1.097	1.042	-0.013	1.261	1.917	-0.265	0.332	0.041	1.635	1.067	1.182	0.451	1.197	0.535	0	-0.215	1.291	0.416	1.828	0.799	1.557	0.39	-0.665
55270	NUDT15 || Nudix (nucleoside diphosphate linked moiety X)-type motif 15	-1.383	0.483	0.203	1.468	-0.023	1.263	1.024	1.731	0.696	0.342	0.038	-0.466	-0.832	-0.658	-1.102	-1.366	-1.055	-1.077	-0.879	1.577	1.446	1.13	2.247	0.537	-1.449	0.182	-1.422	-0.455	-0.208	-1.065	1.169	1.222	-1.435	-1.636	-0.849	0.263	0.473	0.419	-0.934	0.346	-1.825	0.066	-1.594	0.715	-0.507	0.614	-0.908	0.027	-1.816	-1.124
8555	CDC14B || CDC14 cell division cycle 14 homolog B (S. cerevisiae)	2.127	-1.001	-0.864	-1.26	1.522	1.298	-0.441	-1.462	1.402	-0.321	2.747	1.481	1.907	-1.142	0.105	3.355	-0.243	0.024	0.5	-0.385	-0.483	-0.654	-0.489	0.395	2.702	1.297	1.666	-0.649	-1.419	0.381	-1.867	-1.094	-0.057	0.347	0.326	0.286	-1.214	-1.581	0.677	0.09	1.667	0.091	2.343	-0.232	1.811	-2.42	-0.711	-1.864	-0.358	0.076
5902	RANBP1 || RAN binding protein 1	-1.462	1.006	0.165	0.638	-1.531	-0.512	0.662	0.806	0.12	1.027	1.045	-1.548	-1.517	-1.245	-1.392	-2.111	-1.296	-1.248	-1.415	0.694	0.91	1.13	0.861	0.892	-1.769	0.075	-1.136	-0.536	1.185	-1.007	0.95	0.831	0.684	-0.582	-1.11	0.239	0.421	0.893	-0.88	0.724	-0.127	0.872	-1.461	0.727	-3.371	0.758	-1.501	-0.039	-1.48	-1.265
4060	LUM || Lumican	-3.75	-3.868	-3.987	-7.449	0.788	2.256	0.034	0.08	0.931	-1.326	2.96	-0.095	-0.214	-5.217	-0.918	2.219	-2.515	-2.565	2.414	-3.837	-1.876	-7.494	-7.241	-2.289	0.932	1.526	3.095	0.806	-2.187	2.793	-1.172	-1.021	0.853	2.063	2.225	0.99	-0.319	0.142	2.416	-1.603	0.748	-1.395	1.935	-0.688	2.578	-1.27	2.219	0.356	2.578	4.508
27244	SESN1 || Sestrin 1	1.358	-2.08	-1.13	-1.418	0.653	1.211	-0.746	-1.426	-1.502	-2.24	0.464	0.6	1.73	0.326	-0.14	0.64	-0.483	-0.37	1.165	-1.149	-1.143	-2.372	-1.576	-0.456	0.511	-0.089	0.332	-0.39	-0.976	0.761	-1.336	-1.499	0.736	0.394	0.332	0.489	-1.11	-1.731	0.623	0.327	1.026	0.739	0.953	-0.508	0.398	-0.232	1.302	-1.453	0.895	1.083
2224	"FDPS || Farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)"	2.304	-0.057	1.003	0.677	1.89	2.081	-0.746	-0.102	0.173	-0.275	2.341	1.697	5.309	1.742	-0.72	4.509	-0.844	-1.926	1.587	0.479	0	0.328	0.3	-0.352	2.981	-0.582	1.38	-0.649	-0.807	-0.875	-0.989	-1.108	1.945	2.079	-0.493	-0.441	-0.454	-1.246	1.879	-0.496	2.457	-0.772	2.596	0.2	2.329	-0.887	2.452	-1.453	2.204	-0.559
28985	MCTS1 || Malignant T cell amplified sequence 1	-0.358	0.348	0.489	0.579	-1.589	-0.982	0.796	0.987	0.395	0.113	-0.891	-0.96	-1.208	-0.296	-0.445	-0.478	-0.679	0.002	-0.847	0.518	0.518	0.574	0.879	0.235	-1.05	1.114	-0.421	0.273	-0.052	-0.159	0.95	0.629	-0.85	-0.534	-0.161	0.537	0.963	0.72	-0.075	0.261	-0.501	0.008	-1.053	0.919	-0.277	0.662	0.08	0.323	-0.638	-0.118
27113	BBC3 || BCL2 binding component 3	0.904	-2.806	-1.264	-1.636	0.692	0.15	-2.63	-2.152	-0.9	-2.514	1.025	0.168	0.846	0.792	0.517	1.208	1.668	-0.291	1.473	-2.601	-2.679	-2.486	-2.786	0.626	2.356	-0.307	0.98	-0.099	-2.057	1.784	-3.074	-1.803	0.073	0.694	0.741	-0.573	-1.495	-0.926	1.396	-1.49	0.599	-1.221	0.975	-3.05	0.897	-0.328	0.35	-0.631	2.316	2.407
9276	"COPB2 || Coatomer protein complex, subunit beta 2 (beta prime)"	-1.738	1.394	1.479	1.35	-3.386	-2.496	-0.023	-0.773	0.434	0.776	-2.013	-1.331	-2.887	-0.227	-1.147	-1.703	-0.077	0.162	-3.897	0.969	-0.518	1.277	0.809	1.23	-1.21	-0.276	-2.423	0.289	1.472	-0.262	2.266	2.178	-0.187	0.694	-0.172	1.074	1.171	1.24	-0.225	1.008	-1.088	0.722	-1.12	1.195	-0.119	2.562	-0.13	1.058	-1.074	-3.137
1497	"CTNS || Cystinosis, nephropathic"	1.772	-0.596	-0.883	-0.687	0.112	0.915	0.187	-1.626	0.748	0.365	-0.02	1.327	0.626	0.827	0.273	0.995	-0.453	-0.49	-0.279	-0.875	0.285	-0.785	-1.05	0.021	1.651	-0.475	0.837	-0.552	-0.742	1.039	-1.373	-0.963	0.008	1.024	0.48	-0.334	-0.141	-1.812	1.396	-0.922	0.375	-0.581	1.24	-0.352	0.777	-0.599	0.098	-0.384	1.269	-0.648
728661	"RP11-345P4.4 || Similar to solute carrier family 35, member E2"	1.102	-0.377	0.317	-0.805	0.054	0.289	-0.422	-1.535	-1.109	-2.811	0.716	0.801	-1.341	0.153	0.883	0.391	1.187	1.212	0.029	-2.248	-1.786	-0.932	-1.892	-0.459	0.999	-0.842	0.251	-0.448	-0.638	1.17	-1.172	-0.298	0.879	1.638	1.632	-0.489	-0.173	-1.396	1.16	-0.705	1.165	-0.847	1.042	-0.016	0.804	-0.232	0.889	-1.65	0.259	0.694
55701	FLJ10357 || Hypothetical protein FLJ10357	0.313	-1.271	-1.549	-0.964	1.6	0.237	-0.46	-1.081	0.329	-0.298	1.006	0.384	2.017	-0.883	-0.369	1.403	-0.634	-0.703	0.354	-1.169	-0.751	-1.308	-1.436	0.359	1.651	-0.231	1.537	-1.668	-1.185	1.127	-1.373	-0.225	1.178	1.827	1.774	0.251	0.025	-0.357	1.503	0.215	0.966	0.025	1.769	0.405	1.169	-1.031	-0.279	-0.844	0.783	0.677
4597	MVD || Mevalonate (diphospho) decarboxylase	1.259	-0.596	-0.062	-0.291	0.092	1.994	-2.135	-1.753	0.225	-2.125	0.754	1.064	3.365	0.965	-1.499	3.249	-0.077	-1.847	1.246	-3.366	-1.465	-0.883	-2.506	1.248	4.312	-0.307	2.238	-0.31	-1.035	-0.802	-2.452	-0.978	2.01	1.717	-1.229	-0.656	-1.495	-1.928	1.418	-1.102	2.404	-0.507	2.971	0.032	2.31	0.151	2.183	-0.696	3.251	0.924
6182	MRPL12 || Mitochondrial ribosomal protein L12	-0.312	1.669	1.638	0.19	-1.891	-2.473	-0.473	-0.622	0.286	1.538	-1.155	-0.095	-1.245	-1.309	-0.974	-1.094	-0.463	-1.749	-1.328	-0.358	0.22	0.514	-0.203	1.964	0.245	0.233	-1.06	0.294	0.005	-0.432	1.523	1.256	-0.898	-0.734	-0.24	0.66	0.581	0.712	-0.469	0.822	-0.54	0.302	-0.565	1.427	-0.458	1.785	-0.327	1.529	0.527	0.329
28957	MRPS28 || Mitochondrial ribosomal protein S28	0.116	1.073	0.584	0.579	-0.623	-0.007	0.891	0.914	1.036	1.279	-0.813	-0.45	-0.457	-0.365	-1.117	-0.283	-1.281	-0.902	-0.149	0.812	1.571	1.359	1.23	0.945	-0.185	0.35	-0.364	0.273	-0.026	-0.32	0.968	0.918	-0.252	-0.345	-0.6	0.346	0.473	0.257	-0.451	0.45	-0.319	1.013	-0.623	0.547	-0.249	0.199	-0.675	-0.252	-0.582	-0.453
1028	"CDKN1C || Cyclin-dependent kinase inhibitor 1C (p57, Kip2)"	2.64	0.331	2.45	1.607	0.827	-0.129	-5.598	-3.368	-2.417	-3.268	-0.155	1.914	0.449	3.14	3.51	0.143	3.685	2.808	0.386	-1.856	-2.626	-0.163	-2.278	0.821	2.822	0.548	0.479	-1.7	-1.015	2.413	-1.464	-3.106	-0.499	0.788	2.51	-0.441	-3.881	-3.13	2.105	-2.763	-1.003	-1.282	-0.546	-5.016	-0.895	-1.478	0.871	-1.058	2.503	2.23
131566	"DCBLD2 || Discoidin, CUB and LCCL domain containing 2"	-2.8815	1.546	-0.054	0.802	-2.0235	0.2975	0.1485	2.0935	-0.9785	0.342	-1.6355	-2.5905	-0.711	-0.054	-1.0405	-0.7	-1.1905	-1.1615	-0.855	1.1455	0.4815	1.9645	0.344	-0.3075	-0.771	-0.7045	-0.178	1.437	1.211	1.2435	1.7175	1.765	-0.603	-0.117	-0.3565	-0.352	0.7175	1.1535	-0.193	0.5445	-0.597	0.2535	-0.546	1.2785	0.315	2.626	1.545	2.3215	1.493	-0.833
55651	"NOLA2 || Nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)"	-0.673	0.82	1.022	0.065	-1.589	-2.113	-0.061	0.297	0.434	0.867	-1.994	-0.28	-1.009	-0.209	-0.995	-1.614	-0.513	-0.437	-0.782	0.067	0.285	0.459	-0.612	1.159	-0.598	-0.246	-1.208	0.79	-0.026	-0.042	1.517	1.411	-0.278	0.017	-0.161	1.05	0.358	0.962	0.193	0.63	-0.062	0.531	-0.246	0.785	-0.355	1.604	0.08	1.277	-0.021	-0.489
25804	"LSM4 || LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)"	-0.654	0.922	0.717	0.144	-0.738	0.602	1.252	0.769	1.454	1.096	-0.949	-0.512	-0.457	-0.399	-0.903	-1.135	-0.95	-1.607	-1.139	0.753	0.607	0.377	0.528	1.177	-0.904	0.136	-1.308	0.046	-0.208	-0.7	1.443	1.541	-1.149	-0.582	-0.576	0.561	0.713	0.685	-0.902	0.317	-0.875	0.282	-1.638	1.051	-1.237	0.934	-0.765	0.833	-0.825	-1.636
