CLID	Name	Pcorr_primitive_CCR.2010_PMID.20643781	Pcorr_classical_CCR.2010_PMID.20643781	Pcorr_secretory_CCR.2010_PMID.20643781	Pcorr_basal_CCR.2010_PMID.20643781
7056	THBD|7056	-1.276663253	0.125670986	-0.119318639	0.54209458
50615	IL21R|50615	-0.22004769	-0.149996349	0.502363244	0.008533238
4199	ME1|4199	-0.548000625	1.360707205	-0.790201702	-0.425020251
2	A2M|2	-0.111656048	-0.267359483	1.065558774	-0.06215704
6382	SDC1|6382	-0.764156783	0.337130145	-0.991484181	0.419893845
4319	MMP10|4319	-0.862937789	-0.649345787	-1.000829245	2.926716475
6317	SERPINB3|6317	-1.943405767	0.096075154	-1.042533769	2.207710393
9635	CLCA2|9635	-2.498809783	0.628531131	-2.635697864	0.63508878
81537	SGPP1|81537	-0.041737633	-0.2344683	0.377793692	-0.001915728
834	CASP1|834	-0.775558867	-0.187048139	0.274486187	0.063549425
8187	ZNF239|8187	0.732357157	-0.254182294	0.236363734	-0.076555427
2040	STOM|2040	-0.73799704	-0.065057102	0.297294813	0.043433738
2030	SLC29A1|2030	0.339410659	-0.009680796	0.114825847	-0.222215141
55755	CDK5RAP2|55755	0.058721701	1.071554283	-0.341980654	-0.539082294
2877	GPX2|2877	-0.874876851	1.66252468	-2.168514156	-0.470638403
622	BDH1|622	0.040379774	0.55073166	-0.531919664	-0.164949964
3872	KRT17|3872	-2.149146212	0.647096912	-3.078118412	0.795873632
8893	EIF2B5|8893	-0.056923612	0.264786457	-0.444234558	0.020144325
64116	SLC39A8|64116	-0.210602322	-0.18837403	0.625589508	-0.001440974
9249	DHRS3|9249	-0.176294836	-0.151678416	-0.095288164	0.621567224
2745	GLRX|2745	-0.291512324	-0.308960057	0.768343485	-0.0978992
1536	CYBB|1536	-0.439018571	-0.182677255	0.826616451	-0.002192109
1739	DLG1|1739	0.007399596	0.436210705	-0.766138575	0.096534213
2178	FANCE|2178	-0.108588579	0.330066123	-0.530658964	-0.047208947
5583	PRKCH|5583	-0.567878684	-0.07219889	0.120722989	0.150491929
64780	MICAL1|64780	0.008117338	-0.25052131	0.613859556	-0.153267436
1806	DPYD|1806	-0.211571318	-0.202972599	0.36751239	0.180009742
81603	TRIM8|81603	-0.026460318	-0.242295254	0.369747109	0.166316435
3113	HLA-DPA1|3113	-0.605619742	-0.352854501	0.810652384	-0.076446296
2999	GZMH|2999	-0.347141676	-0.194702353	1.023547439	-0.259423228
9122	SLC16A4|9122	-0.032546107	-0.151896216	0.59948047	-0.01736414
5134	PDCD2|5134	0.347730024	0.059671945	-0.251508177	-0.045596046
79096	C11orf49|79096	0.550518593	-0.038883675	-0.045126542	-0.087884892
1803	DPP4|1803	-0.253242313	-0.113888746	0.715317948	0.048396443
6672	SP100|6672	-0.232092691	-0.14966122	0.309723655	0.013284113
3265	HRAS|3265	0.016970016	0.293761848	-0.633118333	0.035677822
7805	LAPTM5|7805	-0.49502006	-0.228276644	0.829081492	0.031188209
8480	RAE1|8480	0.398179918	0.103950351	-0.409991241	-0.004772272
1992	SERPINB1|1992	-0.787740737	-0.198140225	0.392421465	0.663683527
51228	GLTP|51228	-0.752677243	0.549524536	-0.660085421	0.136369094
131	ADH7|131	-1.133517398	2.315890847	-1.21823406	-0.068089548
5613	PRKX|5613	0.115541408	0.845920314	-0.688944706	-0.414855027
3157	HMGCS1|3157	0.232336595	0.171694838	-0.630040549	0.193201281
8869	ST3GAL5|8869	-0.127617924	-0.126845444	0.807022498	-0.006443651
6279	S100A8|6279	-1.887534961	-0.293719165	-0.604211908	1.920827827
1825	DSC3|1825	-1.767176861	0.837287695	-2.59208256	0.605963811
3176	HNMT|3176	-0.20971069	-0.194625905	0.547017455	-0.009620668
29969	MDFIC|29969	-0.430097493	-0.20084399	0.521630607	0.020050702
10158	PDZK1IP1|10158	-1.137164074	-0.697695047	0.946121484	1.249893611
832	CAPZB|832	-0.015213004	-0.216407152	0.177498718	0.216625565
7295	TXN|7295	-0.307790527	0.791913391	-0.550427254	-0.4655586
86	ACTL6A|86	0.345227458	0.405125193	-0.78836067	-0.17383546
409	ARRB2|409	-0.088080879	-0.193461655	0.368501391	0.007517217
23299	BICD2|23299	-0.623115807	0.642743618	-0.633426728	0.089767584
6888	TALDO1|6888	-0.123083774	0.859424705	-0.413237202	-0.339617406
113146	AHNAK2|113146	-1.256380429	0.073034723	-0.658998771	0.859951342
6721	SREBF2|6721	-0.022627081	0.231541934	-0.402269904	0.15818845
7447	VSNL1|7447	-0.611099653	0.815791272	-1.382929344	0.149507299
58473	PLEKHB1|58473	0.657043719	-0.176956626	0.316270926	-0.194058611
967	CD63|967	-0.019688001	-0.269766902	0.405171459	0.098904207
961	CD47|961	-0.148348273	-0.379099518	0.308872327	0.30158464
716	C1S|716	-0.939097988	-0.137886244	0.417155695	0.474772398
220	ALDH1A3|220	-0.231311735	-0.485903209	0.298947748	0.905488885
23199	KIAA0182|23199	0.49103199	-0.155785388	0.237377893	-0.150668174
55619	DOCK10|55619	-0.121820971	-0.13779075	0.568700551	-0.093761205
10155	TRIM28|10155	0.569402841	0.021241738	-0.251029791	0.011287441
4953	ODC1|4953	0.33767662	1.201147141	-0.624936482	-0.609517968
23175	LPIN1|23175	0.348336352	0.014027629	0.201875393	-0.287762059
8073	PTP4A2|8073	0.063376182	-0.296905388	0.246637406	0.059286275
10152	ABI2|10152	0.355634145	-0.00131433	-0.002073379	-0.117215869
9654	TTLL4|9654	0.679556701	-0.089301659	-0.041401262	-0.08465733
4689	NCF4|4689	-0.327583905	-0.275567599	0.632933775	0.032628514
9922	IQSEC1|9922	-0.136132375	-0.20139837	0.444947302	0.041689812
23225	NUP210|23225	0.086363709	0.081747346	0.163389457	-0.399961739
50650	ARHGEF3|50650	-0.101140938	-0.312032405	0.517109813	0.04609963
6478	SIAH2|6478	-0.116149872	0.503266364	-0.663499877	0.033288883
5584	PRKCI|5584	-0.078172114	0.351811347	-0.570507065	0.024111317
10195	ALG3|10195	-0.078319571	0.3881344	-0.521460911	-0.051645679
3516	RBPJ|3516	0.008406342	-0.1791572	0.299135775	-0.045732668
308	ANXA5|308	-0.085478358	-0.231515811	0.419985808	0.021124022
50999	TMED5|50999	-0.094135093	-0.221930222	0.355483719	0.006537459
2760	GM2A|2760	-0.512820906	-0.039540213	0.0801895	0.255418848
10966	RAB40B|10966	0.246716035	0.471962899	-0.888473577	-0.158533183
10924	SMPDL3A|10924	-0.089538834	-0.324506342	0.709831338	-0.004518231
5803	PTPRZ1|5803	-1.244881903	1.023021644	-2.45345652	0.275470322
7286	TUFT1|7286	-0.10544526	0.87485504	-0.62996228	-0.344863631
8544	PIR|8544	0.022988517	0.929481703	-1.507742701	-0.427519121
5931	RBBP7|5931	0.400956356	0.191892889	-0.226882716	-0.136596834
10312	TCIRG1|10312	-0.316791249	-0.337902735	0.739884288	-0.012206259
5317	PKP1|5317	-1.259336962	1.170059978	-1.853790576	0.269889933
4139	MARK1|4139	0.044951001	0.347201584	-0.739137666	-0.009341603
224	ALDH3A2|224	-0.32888068	0.739183219	-0.374081656	-0.363349748
57698	KIAA1598|57698	0.22643353	0.156759019	0.058734847	-0.474426895
23650	TRIM29|23650	-0.740805553	0.409712791	-0.914343919	0.353538911
397	ARHGDIB|397	-0.36588402	-0.408151567	0.834621328	0.001165511
10019	SH2B3|10019	-0.178686978	-0.169656152	0.519700391	-0.030815852
241	ALOX5AP|241	-0.597390598	-0.45598497	0.913178364	0.315618803
688	KLF5|688	-0.576527039	0.676217616	-1.21059052	0.212155417
10538	BATF|10538	-0.279865786	-0.29703312	0.58362732	0.025666173
9990	SLC12A6|9990	-0.394455141	0.312836314	-0.181029608	0.084637879
58472	SQRDL|58472	-0.847120878	-0.0213135	0.250946415	0.170829739
7084	TK2|7084	-0.10284572	-0.134217919	0.31576204	0.086237375
8764	TNFRSF14|8764	-0.182897943	-0.275068724	0.646907553	0.004911324
3566	IL4R|3566	-0.595069318	-0.426509385	0.402249459	0.599856793
10615	SPAG5|10615	0.474881474	0.215468397	-0.375810058	-0.343471309
3728	JUP|3728	-0.601865801	0.343149489	-0.970690769	0.40929738
6273	S100A2|6273	-3.501812049	0.225915489	-2.283094891	1.131712712
7625	ZNF74|7625	0.290198531	0.070537654	-0.272397986	-0.053141149
1475	CSTA|1475	-1.795332818	0.71525463	-1.506841328	0.928803854
4711	NDUFB5|4711	-0.00046579	0.474319732	-0.577133355	-0.058432524
6657	SOX2|6657	-0.351088527	1.150730666	-2.312228837	-0.803942905
3122	HLA-DRA|3122	-0.679807511	-0.410020032	0.757897192	-0.045694834
64759	TNS3|64759	-0.133912788	-0.477782169	0.733544473	-0.017326506
1438	CSF2RA|1438	-0.148459139	-0.112707622	0.443649227	-0.012596011
9535	GMFG|9535	-0.543964585	-0.224947496	0.924591736	-0.022250109
2707	GJB3|2707	-0.67819512	0.110686888	-0.311401822	0.451889327
64231	MS4A6A|64231	-0.546780131	-0.211005698	0.720189143	0.032961576
2810	SFN|2810	-1.146782567	0.325520677	-1.278013824	0.47098098
3601	IL15RA|3601	-0.220547529	-0.156349207	0.497890546	-0.029875554
1912	PHC2|1912	0.15547014	-0.327945667	0.353009625	0.151624392
7421	VDR|7421	-0.421700922	-0.259442798	0.37519983	0.309636507
53373	TPCN1|53373	-0.149318637	-0.119839958	0.355931317	-0.003943895
54987	C1orf123|54987	0.167638969	-0.254811606	0.196631118	0.039891825
5265	SERPINA1|5265	-0.682575442	-0.452360698	1.408818268	0.237956265
427	ASAH1|427	-0.271207006	-0.174843751	0.506051404	-0.125912475
7037	TFRC|7037	0.018434418	0.608087985	-0.788727037	-0.103125108
218	ALDH3A1|218	-1.101175155	2.802964487	-1.521763754	-0.470672473
1397	CRIP2|1397	0.171655984	-0.522277122	0.681275093	0.282176472
6535	SLC6A8|6535	-0.252624944	0.497840711	-1.321983095	0.169549193
5268	SERPINB5|5268	-0.825228082	0.487188478	-0.683001516	0.289960713
1952	CELSR2|1952	-0.02909359	0.110213913	-0.566291196	0.220311854
50814	NSDHL|50814	-0.055899116	0.241081666	-0.554215842	0.076418733
50512	PODXL2|50512	0.852271753	-0.019997451	-0.101922847	-0.053002568
53836	GPR87|53836	-2.216576903	0.273034472	-1.18818014	0.977194553
7164	TPD52L1|7164	-0.122125599	0.520128015	-1.349031044	-0.040017803
8745	ADAM23|8745	-0.416811444	1.61931148	-1.010970513	-0.441228025
22916	NCBP2|22916	0.130282295	0.317179396	-0.640552496	0.014517919
10610	ST6GALNAC2|10610	-1.137781398	0.524092211	-1.1951347	0.329071711
3576	IL8|3576	-1.252612427	-0.330810185	0.000705264	1.377570589
140465	MYL6B|140465	0.539568278	-0.139754682	-0.103401705	-0.033551037
22875	ENPP4|22875	0.23261728	-0.276021954	0.484158169	-0.147700778
29940	DSE|29940	-0.521502484	-0.462035759	0.484898955	0.509465921
6713	SQLE|6713	0.009426272	0.146488844	-0.706842562	0.256579492
54874	FNBP1L|54874	0.897412822	-0.416062354	0.224684282	0.086271828
9467	SH3BP5|9467	0.019529793	-0.192799186	0.555885285	-0.169543673
10057	ABCC5|10057	-0.543993175	0.718137785	-1.049340911	-0.018827355
55647	RAB20|55647	-0.049929128	-0.183517594	0.613558809	-0.046443862
55759	WDR12|55759	0.40862553	0.058835281	-0.348823913	-0.052866977
65108	MARCKSL1|65108	1.015985252	-0.306554812	0.016436948	0.097277604
7247	TSN|7247	0.387326775	0.106425151	-0.291113151	-0.14889226
3608	ILF2|3608	0.389347141	0.16697422	-0.328901975	-0.117413547
8936	WASF1|8936	0.260567147	0.662851406	-0.587133964	-0.328064859
1119	CHKA|1119	0.513165744	-0.150268678	0.23567462	-0.13631321
8644	AKR1C3|8644	-1.120053853	2.279638423	-2.384289782	-1.182195297
11309	SLCO2B1|11309	-0.407843891	-0.155587812	0.670955483	0.034238686
2919	CXCL1|2919	-1.086515045	-0.413074987	0.255163714	2.196883054
4192	MDK|4192	1.001421093	-0.019797375	-0.180951995	-0.22217952
5307	PITX1|5307	-0.97891356	0.511873981	-1.37481303	0.692341991
873	CBR1|873	-0.727221294	1.571308049	-0.870193864	-0.329331751
240	ALOX5|240	-0.269382725	-0.250615812	0.553173559	0.043451422
9235	IL32|9235	-0.277785196	-0.395876887	0.810938365	0.151349175
7080	NKX2-1|7080	-0.358564778	-0.111491913	1.041357088	-0.113877488
28978	TMEM14A|28978	-0.092840728	0.575173391	-0.663253092	-0.214428153
29015	SLC43A3|29015	-0.060703616	-0.308830215	0.623948392	0.028606702
9368	SLC9A3R1|9368	-0.793414802	0.752814633	-1.081186229	0.10401029
10550	ARL6IP5|10550	-0.296150249	-0.376717761	0.717591125	0.101234337
9836	LCMT2|9836	0.084345395	0.280655366	-0.356544354	-0.005811379
80303	EFHD1|80303	0.798522467	-0.172601504	0.179722833	-0.176344848
