CLID	Name	BC711B-BE	BC711A-AF	BC213B-BE	BC605B-BE	BC14	BC114A-BE	BC709B-BE	BC206B-AF	BC35-0	BC206A-BE	BC305B-AF	BC305A-BE	BC16	BC-A	BC713A-BE	BC120B-AF	BC120A-BE	BC790	BC119B-AF	BC119A-BE	BC205B-AF	BC-HBC5	BC23	BC208B-AF	BC208A-BE	BC606B-AF	BC404B-BE	BC404A-AF	BC805B-AF	BC805A-BE	BC115B-BE	BC214B-BE	BC214A-AF	BC111B-BE	BC2	BC123B-BE	BC123A-AF	BC107B-BE	BC107A-AF	BC309A-BE	BC111A-BE	BC706B-AF	BC706A-BE	BC303B-BE	BC303A-AF	BC121A-AF	BC807A-BE	BC-HBC3	BC110B-BE	BC112B-BE	BC112A-AF	BC808A-BE	BC808A-AF	BC708A-AF	BC-HBC4-T1	BC115A-AF	BC702B-BE	BC708B-BE	BC17	BC121B-BE	BC4-LN4	BC31-0	BC118B-BE	BC118A-AF	BC124B-AF	BC124A-BE	BC702A-AF	BC704B-AF	BC608B-BE	BC608A-AF	BC503B-BE	BC108A-BE	BC106B-BE	BC106A-AF	BC201B-BE	BC405A-BE	BC108B-AF	BC405B-AF	BC210B-AF	BC125A-BE	BC125B-AF	BC-HBC2	BC104B-AF	BC104A-BE	BC117A-BE	BC710B-AF	BC610A-BE	BC40	BC24	BC38	BC1257-MET	BC116A-BE	BC710A-BE	BC308B-BE	BC110A-AF
1643	"IMAGE:753447 || damage-specific DNA binding protein 2, 48kDa AA406449 "	0.347	-0.356	-0.396	-0.415	0.633	0.733	-0.502	-0.209	-0.149	-0.029	-1.833	-0.683	-0.467	0.193	-1.48	-0.393	-1.086	-0.614	0.027	-0.493	-0.147	-0.464	-0.575	-0.229	-0.773	-0.1	-0.689	-1.104	0.408	0.472	-0.388	-1.821	-0.58	-0.632	-1.796	-0.964	-0.252	-0.072	-1.331	-0.202	-0.913	-1.931	-2.047	-1.464	-0.816	-0.007	0.106	-0.58	-0.906	-0.121	0.871	0.989	1.115	0.514	-0.005	-1.314	0.084	-0.194	0.55	-0.326	0.575	0.775	-0.021	0.851	1.686	1.669	1.059	0.458	-0.318	1.012	0.573	0.699	0.888	0.733	0.044	-0.522	0.645	0.552	1.333	-1.173	0.485	0.548	-0.518	0.358	0.536	2.329	0.704	-0.768	-0.298	0.959	0.521	0.313	0.38	0.543	0.092
2305	IMAGE:564803 || **forkhead box M1 AA129552 	-0.487	-0.19	0.055	-0.603	0.35	-0.146	-0.136	0.986	1.028	0.069	-1.215	0.207	0.62	0.972	0.423	-0.423	0.107	0.6	0.996	0.583	1.511	1.438	2.005	0.914	1.067	0.925	0.801	1.146	1.336	1.11	1.197	0.765	0.742	-0.24	0.99	0.858	0.692	1.028	1.433	-0.183	0.696	-0.704	-0.34	0.1	0.783	0.11	-0.265	0.049	1.694	0.505	0.099	0.354	-0.379	-0.112	-0.592	-0.013	-0.266	-0.871	-0.83	-0.423	-0.172	-1.132	-0.486	-0.284	-0.612	-0.321	-0.838	-1.29	-0.628	-1.6	0.208	-0.236	-0.977	-0.511	-0.896	2.936	0.645	-0.617	-0.299	0.106	-0.401	0.071	0.196	-0.044	0.082	0.153	-0.74	0.63	0.639	-0.53	0.438	0.443	-0.703	-1.084	-0.843
2625	IMAGE:214068 || GATA binding protein 3 H72474 	-1.793	-0.893	-0.93	-3.821	-4.03	-2.965	-2.827	-0.633	-0.698	1.17	-1.531	-2.428	-2.352	-0.586	-0.044	-0.316	-0.58	-3.15	-4.894	0.195	-3	-1.668	-2.825	-3.177	-2.867	-4.112	-2.957	-2.2	-3.489	-3.509	-0.092	-1.468	-1.931	-0.425	-2.126	-0.707	-2.275	-0.601	-0.441	-2.017	0.02	-0.217	0.065	-1.022	0.17	0.277	0.5	0.6	0.128	-1.813	-1.486	-0.704	-0.289	0.848	0.411	1.69	1.192	1.284	0.69	0.801	-0.025	0.569	1.316	1.293	1.739	1.596	0.574	0.026	0.188	0.772	0.6	1.136	1.322	0.695	2.145	0.672	0.411	0.542	2.88	0.882	0.849	0.374	2.014	1.15	0.876	-0.049	1.979	-0.352	0.883	0.005	-0.315	0.747	-0.508	0.42	1.513
3833	IMAGE:292933 || kinesin family member C1 N69491 	-1.556	-1.698	0.873	-0.194	-0.319	-0.185	0.926	3.213	-0.447	0.442	-0.214	1.251	1.007	1.021	-0.078	0.755	1.079	0.872	0.364	0.194	0.749	0.62	0.059	1.262	-0.043	1.171	0.632	0.042	1.088	0.328	0.901	0.139	0.338	0.011	-0.144	0.55	-0.097	-0.872	-1.378	0.659	-0.167	0.507	1.786	0.076	0.582	1.311	-0.265	-0.547	0.644	-0.194	-0.89	-0.462	-1.828	-0.491	-1.081	-2.338	0.126	-1.146	-0.62	0.149	-3.056	-0.515	1.029	-1.192	-1.123	-0.819	-0.272	-0.397	0.135	-0.167	-1.613	0.105	-0.122	-0.587	-0.457	0.453	0.645	0.061	-0.026	0.463	-0.97	-1.51	0.234	0.705	-1.243	1.334	-0.514	0.661	-0.955	-1.3	-0.44	0.052	-1.137	-0.646	0.247
4085	IMAGE:814701 || MAD2 mitotic arrest deficient-like 1 (yeast) AA481076 	0.876	0.437	-0.146	0.425	-0.549	0.1	-0.648	-0.633	-0.683	0.246	0.942	-0.067	-0.617	-0.056	1.136	-0.194	0.34	-0.498	1.084	0.661	-0.095	0.05	0.407	1.609	1.279	0.693	0.318	0.882	1.088	0.84	0.939	1.353	0.831	1.501	-0.045	-0.271	-0.945	0.281	0.588	0.753	-0.377	-0.075	-0.494	0.542	0.723	0.923	0.227	0.15	-0.567	0.873	-0.253	0.974	-0.976	0.134	0.387	0.113	-0.533	-0.47	-1.36	-2.952	0.552	-1.095	-0.714	-0.571	-0.697	-0.848	-1.282	-1.012	-1.693	-0.682	0.691	-0.787	0.801	-0.587	0.115	-0.942	0.645	-0.528	-0.535	-0.509	0.153	0.299	-0.963	-1.61	-1.375	-1.905	-0.131	-0.172	-0.186	-0.778	-1.695	-0.144	-0.638	0.434	0.5
4172	IMAGE:809557 || MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) AA455786 	0.223	0.501	-0.129	-1.101	0.445	-0.508	-0.685	0.14	0.526	-0.167	1.915	0.994	0.083	-0.056	1.281	-0.668	-0.114	0.231	0.604	1.192	-0.157	1.419	0.925	0.051	0.729	0.439	0.149	0.993	0.926	0.454	-0.293	0.041	-0.156	-0.066	0.626	-0.066	0.134	0.159	1.341	0.435	-0.493	-2.261	-0.872	-0.64	-0.725	0.704	-0.046	0.442	1.08	-0.035	-0.863	-1.037	-1.32	-0.402	0.913	0.631	-0.841	-0.921	-0.13	0.061	-0.29	1.7	-0.09	0.063	-0.059	-0.336	0.404	0.766	-2.279	-0.95	-0.097	-0.114	-0.454	-0.067	0.099	-0.206	-1.528	-0.499	0.427	-1.407	-1.445	0.125	-0.388	-0.471	-0.032	-0.302	1.214	-0.266	0.095	0.528	-0.217	-0.339	-0.248	-0.263	-0.259
4288	IMAGE:769513 || antigen identified by monoclonal antibody Ki-67 AA425973 	0.144	-0.829	-0.68	-0.205	0.894	-0.883	1.512	0.582	0.494	1.268	-0.31	-0.135	0.158	-1.447	-0.345	0.602	0.535	0.075	-0.341	-0.96	1.274	0.207	0.818	0.365	0.348	0.27	0.183	-0.145	0.624	0.463	0.652	0.001	-0.106	0.119	0.758	0.229	0.076	0.118	-0.481	0.613	-0.003	1.372	-0.242	0.291	-1.932	-1.311	-0.205	-0.524	1.727	0.873	-1.405	0.853	-1.171	1.139	-0.984	-0.6	0.14	-0.069	0.13	0.431	0.398	-0.908	-1.07	-1.096	-0.197	-0.819	0.211	-0.493	0.108	0.593	-0.725	-1.015	-0.432	0.009	-1.116	0.659	0.27	-1.108	-0.45	0.131	-0.322	-0.091	0.048	0.482	-0.827	0.069	-1.179	-0.376	-0.336	-1.144	0.647	-0.253	-0.14	0.489	0.462
4521	IMAGE:756502 || nudix (nucleoside diphosphate linked moiety X)-type motif 1 AA443998 	-2.806	0.181	-0.713	0.06	-0.779	-0.262	0.688	0.085	1.091	-0.206	-1.991	0.173	0.058	-0.105	-0.278	0.924	1.04	0.619	-0.133	-0.882	0.533	0.942	0.175	-0.251	0.052	0.201	0.691	0.161	1.498	1.451	0.538	0.648	0.87	0.696	0.01	0.319	0.654	0.2	-1.116	-0.043	1.443	1.513	1.199	0.447	0.351	-0.691	-0.697	-0.827	0.241	-2.45	-1.405	-1.157	-1.171	-1.072	-0.274	-0.439	0.112	-0.119	0.04	0.22	0.504	-0.665	-0.555	-0.296	-0.176	-0.512	0.369	0.545	0.472	-0.957	-0.576	-0.394	-0.152	-0.195	-0.935	0.711	-0.481	0.994	-0.356	-0.214	0.375	-0.557	0.725	0.438	-0.013	0.204	-0.825	0.378	-1.161	-0.399	-0.106	-0.122	0.185	-0.537	-0.57
4605	IMAGE:815526 || v-myb myeloblastosis viral oncogene homolog (avian)-like 2 AA456878 	2.655	3.774	0.572	1.863	-0.455	-0.586	0.542	1.042	0.792	-0.068	-0.005	-0.187	0.432	0.557	1.537	0.204	0.911	1.63	0.82	0.713	0.821	0.096	0.701	1.105	1.194	0.339	1.292	1.273	0.332	0.346	1.12	0.814	1.136	1.164	0.935	0.486	0.326	0.851	0.85	1.605	-1.03	0.821	-0.159	-0.079	0.18	1.233	-0.758	0.139	-0.179	-1.261	0.478	-0.175	-1.634	-1.764	0.326	0.819	-1.767	-0.946	-1.03	-0.485	-0.484	-1.179	-0.951	-1.383	-1.166	-1.419	0.734	-1.963	-1.063	0.934	-1.813	-1.041	-1.169	-1.507	-0.308	-1.429	0.666	-0.833	-0.95	-2.121	2.494	-0.904	-0.917	-3.621	0.366	-0.741	-1.293	-0.816	-1.142	-1.444	-0.677	-1.035	-1.527	-0.564	-0.531
4756	IMAGE:811562 || neogenin homolog 1 (chicken) AA454591 	-0.971	-0.359	0.005	0.304	1.103	0.332	0.121	-0.872	-0.981	-1.267	0.258	0.412	-2.802	0.011	-2.048	-0.423	-0.464	-0.614	1.74	2.878	-0.054	0.142	-0.343	0.036	-0.879	0.085	-0.31	-0.496	-0.574	-0.319	-1.352	-1.184	-1.458	-0.403	-0.948	-2.042	-0.232	-3.681	-0.198	-4.741	-1.123	-1.208	0.821	-0.736	-0.695	-1.066	-1.364	1.027	0.149	0.258	0.085	-0.749	-0.334	0.223	0.522	-0.129	0.603	-0.796	0.086	0.819	0.34	1.205	0.177	0.696	-0.144	-0.073	-0.009	-0.166	1.022	0.553	0.748	1.267	0.696	0.356	0.765	0.099	0.302	0.591	0.833	0.574	0.952	0.927	0.063	0.438	-0.864	-1.601	0.648	0.036	1.596	0.88	1.134	0.834	-1.96	-0.701	0.061
5424	"IMAGE:780947 || polymerase (DNA directed), delta 1, catalytic subunit 125kDa AA429661 "	-0.216	-0.714	-0.563	0.348	1.176	0.294	0.707	-1.828	1.028	0.344	-1.018	0.173	0.819	0.027	0.557	-0.377	0.314	1.397	-0.245	0.337	-0.858	1.41	0.996	0.276	-0.202	0.262	-0.189	0.458	0.84	0.858	-0.465	0.481	0.535	-0.077	-0.409	-0.41	0.558	-0.981	-0.313	0.004	1.653	0.192	0.009	-4.26	-1.761	-1.272	0.182	0.824	-0.115	-1.138	-0.538	1.185	0.189	1.362	0.216	0.771	0.856	0.156	0.43	-2.229	0.487	0.214	-0.05	-0.105	-0.027	-0.146	0.644	-0.224	0.692	0.769	-0.629	-0.289	-0.564	-0.73	-1.069	-0.512	0.398	0.848	-0.328	0.603	-0.448	0.634	-0.499	0.55	1.331	1.385	-0.287	-0.187	-1.199	0.058	0.605	0.704	-0.573	0.065	0.15
5550	IMAGE:855800 || prolyl endopeptidase AA664056 	-0.757	-1.123	-0.313	0.746	-0.298	-0.637	-0.099	-0.025	-0.416	-1.582	-0.281	-0.614	-1.166	-0.221	0.379	2.945	2.441	-0.235	0.011	0.246	1.223	-0.317	0.594	0.421	0.75	0.917	0.403	0.628	0.71	0.543	-0.274	-0.195	-0.057	-0.044	-0.244	-0.13	0.75	0.58	0.358	0.996	-0.353	-1.333	-0.466	-0.521	-0.394	0.407	-0.273	0.97	0.644	0.513	-0.362	0.369	0.099	-0.714	-0.36	1.137	-0.645	0.056	0.522	0.176	0.045	-0.029	0.217	0.182	0.239	-0.131	0.645	0.803	0.188	0.2	-0.367	0.699	0.342	0.265	0.083	0.071	0.074	-0.057	1.134	-0.447	-0.116	0.427	0.224	-0.162	-0.486	0.912	0.28	-0.69	-0.111	-0.23	-1.207	-0.166	0.532	-0.674	-0.745
5984	"IMAGE:203275 || replication factor C (activator 1) 4, 37kDa H54751 "	0.088	-0.855	0.673	-0.393	0.246	-0.03	-0.172	0.894	0.463	0.049	0.048	-0.649	-0.242	0.16	-0.322	-1.204	-0.827	-0.323	0.116	0.337	-0.095	0.785	0.425	0.219	0.676	0.563	0.708	0.611	0.57	0.948	-0.121	0.266	0.653	0.772	0.164	-0.207	-0.136	0.675	1.295	0.004	0.463	-1.286	-0.424	0.721	0.311	0.213	0.894	1.06	0.305	-0.035	-0.429	0.52	0.159	0.737	-0.445	0.079	-0.35	0.482	0.23	0.008	-0.09	-0.534	0.811	0.206	0.005	-0.16	-1.914	-0.743	-1.533	-0.343	-0.184	-0.551	-0.365	-0.376	-0.018	-0.226	-1.692	-0.214	0.106	0.365	-0.282	0.58	0.187	0.129	0.403	0.254	-0.089	-0.941	0.039	-0.216	-0.329	0.008	1.29	0.065	0.676
6416	IMAGE:726147 || mitogen-activated protein kinase kinase 4 AA293050 	0.144	-0.509	-1.064	-0.404	0.465	-0.25	-0.172	0.269	-1.232	-0.776	-0.926	-0.768	-0.042	-0.155	-0.757	-1.097	-0.723	-0.75	-0.621	-1.764	-0.034	-0.124	-0.263	-0.24	0.02	0.275	-0.189	-0.357	-0.089	-0.382	-1.142	-0.89	-0.481	0.163	-0.827	0.037	0.018	-0.262	-1.5	-0.155	-2.406	-0.877	0.107	-0.748	-1.067	-0.02	-1.288	0.386	0.208	0.37	-0.605	0.943	0.577	0.96	-0.225	0.194	0.701	-0.194	0.67	0.334	0.569	1.196	2.247	2.07	1.42	1.449	1.141	1.409	0.747	0.871	0.242	0.14	1.352	1.69	1.142	0.386	-0.663	0.464	0.248	1.189	0.873	0.743	0.753	0.927	-1.337	0.17	-0.556	0.253	0.714	1.35	-0.482	1.073	0.098	-0.25	0.442
6790	IMAGE:129865 || serine/threonine kinase 6 R11407 	1.304	1.549	-0.229	0.116	-0.549	-0.056	0.395	-0.651	-0.071	-0.678	-0.294	1.901	0.158	0.856	0.579	0.648	0.95	0.134	1.004	1.27	0.419	0.197	-0.2	0.141	0.253	0.586	0.674	1.052	1.369	1.011	1.263	1.304	1.472	1.61	0.538	0.691	0.461	0.24	2.493	-0.885	-0.937	-0.406	-0.536	0.913	1.115	0.071	-0.265	0.319	-0.47	1.192	2.022	-0.311	-0.603	-0.915	0.093	-0.232	-1.641	-1.221	-3.459	-0.044	0.781	-0.225	-1.803	-1.24	-1.314	-0.848	-2.711	-1.319	-1.072	-1.67	-0.646	-0.403	-0.734	-0.956	-1.296	-0.436	0.645	-0.028	-0.101	-0.447	-1.983	0.472	0.169	-1.028	-1.754	-0.538	-0.754	-0.077	-1.949	-0.008	-0.649	-0.557	-1.05	-0.14	0.325
6890	"IMAGE:841340 || transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) AA487429 "	1.18	1.6	-0.814	0.171	0.957	-1.155	1.183	0.582	-0.573	1.307	0.166	1.781	1.194	0.657	0.479	1.705	0.963	1.057	0.988	0.57	0.646	0.629	1.175	1.688	1.765	0.732	1.749	1.4	-1.276	-1.514	-0.293	-0.028	-0.58	0.272	-0.288	0.845	-0.001	1.53	-0.963	0.06	0.65	-1.176	-1.264	1.665	0.482	0.729	-0.258	-1.962	-1.391	0.247	0.397	-3.757	-1.185	-0.692	0.705	0.01	-0.35	0.181	-0.15	-0.802	0.61	-0.749	1.009	0.995	-0.517	-0.234	-0.222	-0.512	-0.522	-0.491	-0.96	-0.35	-0.292	-0.165	-0.363	0.491	-0.135	0.316	1.663	-0.164	0.177	-1.001	-0.991	-0.521	-0.997	-0.893	0.18	-0.611	-2.117	0.371	-1.681	-0.448	-0.617	2.513	-3.275
7153	IMAGE:825470 || topoisomerase (DNA) II alpha 170kDa AA504348 	0.786	0.565	4.43	-0.15	0.194	-0.469	-0.044	0.471	-0.055	-0.737	1.35	0.43	-0.03	0.475	0.179	-0.484	0.172	0.668	0.388	0.881	0.347	0.942	0.46	0.051	0.591	0.054	0.708	0.653	0.559	0.579	0.041	-0.322	-0.166	0.163	-0.266	0.473	-0.406	0.2	0.512	0.407	0.463	0.412	0.541	1.271	0.894	0.523	-0.015	-0.659	-0.212	0.468	0.383	-0.084	-0.035	-1.63	-0.617	0.493	0.028	-2.198	-0.82	-0.106	-0.773	-0.973	-0.733	-1.24	-0.9	-0.468	-1.832	-0.791	-0.664	-0.753	-0.428	0.314	-0.476	-0.489	-0.003	-0.942	-0.281	-0.303	-1.233	0.328	-0.187	0.212	-0.907	-0.05	-1.356	0.17	-0.103	-0.124	0.358	-0.517	-0.343	-0.405	-0.248	-1.166	-0.356
7277	"IMAGE:612274 || tubulin, alpha 1 (testis specific) AA180742 "	-0.115	0.002	0.071	-0.017	0.079	0.203	0.597	0.508	-0.086	-0.049	0.232	0.447	0.095	-1.182	-0.79	1.261	0.496	0.173	0.46	-0.415	-0.034	0.087	0.032	1.083	0.93	0.147	0.234	-0.221	0.516	0.13	-0.13	-0.175	0.377	0.087	0.494	0.126	-0.464	0.078	-0.133	1.221	-0.423	-0.814	-0.326	-0.186	0.079	-0.033	0.212	-0.007	0.483	0.039	-0.009	0.686	-0.319	0.045	-0.127	0.85	-0.154	1.509	0.1	0.167	0.092	-0.067	0.96	0.302	0.005	0.118	-0.666	-0.33	0.215	-0.251	-0.42	-0.831	-0.255	-0.331	-0.826	0.118	-0.736	0.09	-0.026	-0.263	0.098	-0.524	-0.926	-0.279	0.233	0.119	-0.414	-0.329	-0.692	-0.425	-0.106	-0.513	0.77	-0.113	-0.531
7832	"IMAGE:213136 || BTG family, member 2 H69582 "	-0.081	0.258	1.424	-2.206	-1.741	-0.431	-1.289	-1.92	-1.138	-1.896	-0.439	-0.905	0.332	-0.337	0.067	-0.086	-1.255	-2.819	-0.261	-0.973	-1.301	-1.126	-1.808	-1.058	-1.408	-0.793	-1.23	-1.13	-0.866	-1.838	-0.207	0.021	-1.3	-0.773	-1.917	-1.516	-1.754	1.611	0.512	-1.25	-2.056	0.239	-1.096	-0.724	0.472	-1.673	-0.17	0.465	3.277	0.067	-0.158	0.475	1.459	0.603	2.883	1.954	-0.07	0.833	0.27	0.96	0.863	0.279	-0.011	-1.61	1.143	0.103	0.27	2.322	0.951	0.539	1.096	1.197	0.843	0.34	1.847	0.758	0.402	0.483	1.766	1.325	1.79	1.533	0.178	-0.18	-0.543	0.592	0.563	-1.051	-1.949	2.264	1.525	-3.121	0.727	1.391	2.038
7844	IMAGE:768562 || ring finger protein 103 AA425020 	-0.081	-0.049	0.322	1.62	0.696	0.488	0.139	-0.154	-0.369	-0.638	1.06	1.011	0.17	0.226	-0.601	-0.561	-0.658	-0.799	-0.341	-0.48	-0.25	-0.124	-0.888	-1.507	-1.249	-0.993	-0.198	-0.994	-1.309	-1.227	-0.627	-0.165	-0.294	-0.642	-0.023	-1.054	-0.945	-0.248	-0.302	0.472	-0.75	-0.28	-1.11	-0.067	0.21	-0.485	-0.334	0.015	-0.357	0.235	0.41	-1.293	-0.259	-2.545	0.448	0.723	-0.294	0.056	1.269	0.766	0.21	0.56	0.078	0.6	0.186	0.001	-0.083	0.362	0.676	-0.576	0.669	1.101	0.748	0.913	1.236	0.223	-0.408	0.581	0.861	1.078	0.651	0.299	0.92	0.599	0.29	-0.724	-0.471	0.048	0.077	0.267	0.786	0.378	-0.595	0.174	-0.745
8836	"IMAGE:809588 || gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase) AA455800 "	0.82	0.641	0.339	2.405	0.957	-0.043	0.121	-1.902	-1.232	-0.01	1.731	0.84	-0.941	-1.597	0.646	0.755	0.535	0.678	0.019	-0.13	1.46	1.033	0.291	0.634	0.655	1.079	1.402	1.315	0.289	0.112	0.567	0.971	0.722	2.383	0.351	3.834	4.218	2.398	2.217	-0.904	2.563	1.608	2.374	2.131	1.809	1.672	-0.879	1.836	-0.906	-0.39	-0.307	0.505	-0.035	-0.313	-0.139	-0.692	0.351	-0.67	-0.8	0.299	-1.355	-1.768	-1.783	-1.586	-0.889	-0.658	-1.101	-0.262	0.543	0.694	0.46	-0.219	-1.235	-0.888	-1.319	-1.104	0.645	-0.342	-1.148	-0.46	-0.915	0.169	-1.38	-0.428	0.252	-1.314	0.294	-1.02	-1.199	-2.24	-1.5	-1.644	-0.422	-1.809	-0.2
9232	IMAGE:781089 || pituitary tumor-transforming 1 AA430032 	0.516	-0.701	0.055	-0.78	-0.235	0.009	3.325	-0.081	-0.29	-0.324	0.271	-0.033	0.532	0.292	-0.924	0.526	0.69	0.629	0.852	1.413	0.502	-0.106	0.55	0.881	0.676	0.986	0.505	0.517	0.473	0.516	0.767	1.01	1.166	-0.033	0.23	0.973	0.346	0.878	-0.471	-0.969	0.953	-0.358	0.317	0.865	-0.122	0.006	2.713	0.611	-1.875	-1.801	-0.199	0.369	-0.483	-0.29	0.228	-3.339	-0.505	0.257	-0.64	-0.397	-0.732	-1.02	-1.011	0.242	-0.868	-0.131	-3.278	-1.703	-1.196	-1.734	-1.056	-1.714	-1.663	-1.446	-1.1	-2.413	0.645	-1.678	-0.903	-2.576	-1.231	-0.189	0.948	0.209	-1.186	-1.146	-0.698	-0.517	0.527	-1.47	-1.597	0.378	0.315	0.161	0.637
9319	IMAGE:856427 || thyroid hormone receptor interactor 13 AA630784 	0.155	0.961	0.739	0.459	0.183	-0.275	0.707	0.306	0.432	-0.638	0.245	-0.306	-0.292	0.624	1.804	-0.653	-0.204	0.911	0.516	1.646	0.306	0.721	0.8	1.004	0.771	0.747	0.886	1.392	0.926	1.262	1.101	1.206	1.156	1.295	2.102	0.832	0.924	0.661	0.803	0.248	0.86	-0.704	-0.242	-0.258	-0.001	0.6	0.758	-0.547	0.257	-1.666	-1.418	0.505	0.308	-0.402	1.133	-0.52	-1.416	-0.42	-0.9	-1.586	-0.331	-0.618	-0.525	-0.678	-0.612	-0.965	0.404	-0.282	-0.726	-0.499	-0.803	-0.936	-1.235	-0.964	-0.873	-0.866	-1.301	-1.049	-0.46	-1.297	-3.066	0.114	-0.648	-0.923	0.385	0.069	-0.202	0.111	0.489	-0.36	-0.287	0.095	0.077	0.01	0.306
9338	IMAGE:786607 || transcription elongation factor A (SII)-like 1 AA451969 	0.617	-0.075	-0.212	-0.304	-0.967	-0.301	-0.264	-0.099	-0.761	-0.501	-0.123	-0.477	-1.116	-1.083	-0.276	0.073	0.612	-0.906	-0.469	-0.299	-0.559	-0.44	-1.075	-0.924	-0.699	-0.408	-0.452	-0.994	0.386	-0.589	-1.142	-0.665	-0.688	-0.414	-0.937	-1.092	0.326	-0.669	-1.04	-0.005	1.49	1.199	1.157	1.008	0.461	0.031	-0.318	0.892	-1.1	-0.035	0.14	0.203	0.577	0.893	0.179	0.735	-0.098	3.388	0.32	1.401	0.504	0.719	1.851	2.178	0.909	1.347	0.517	2.466	1.297	1.266	0.6	0.795	1.146	1.192	1.322	0.921	1.285	0.208	1.295	0.331	0.354	0.331	-0.473	1.658	0.347	0.018	-0.216	-0.175	0.433	-0.295	-0.468	0.334	-0.855	0.078	1.084
9493	IMAGE:788256 || kinesin family member 23 AA452513 	-0.047	-0.19	-0.413	-0.139	0.131	0.151	-0.593	-1.332	-0.512	-0.992	-0.21	-0.734	0.732	0.939	0.891	0.74	1.222	1.105	1.42	2.1	0.646	0.142	0.889	0.332	0.285	0.855	-0.206	0.645	0.635	0.454	0.757	1.618	1.551	0.196	2.168	0.114	-0.329	-0.696	-0.748	0.556	0.813	0.255	0.681	-0.186	0.381	0.897	-0.546	0.296	-0.292	-0.856	-0.971	-0.749	-0.693	0.915	-0.298	-0.969	-0.112	-0.62	-1.5	-0.238	-1.102	-0.712	-1.585	-0.977	-1.453	-0.819	0.692	0.618	-0.912	-1.854	-0.333	-0.551	-1.147	-0.79	-0.873	-0.675	0.6	-0.479	-1.139	0.402	0.605	-0.026	0.002	0.284	-1.262	0.642	0.166	0.378	-0.186	-0.491	-0.12	0.03	-0.985	-0.4	0.325
9520	IMAGE:132012 || aminopeptidase puromycin sensitive R24894 	1.664	1.945	-0.88	1.354	0.476	0.591	0.066	-0.945	-0.039	-1.562	-0.005	-0.58	-0.866	-0.486	0.112	-1.449	-1.605	-0.624	-0.389	-0.843	-0.137	-0.73	-0.7	-0.666	-0.255	-0.939	-1.053	-0.714	-0.24	-0.202	-0.627	-0.528	-0.856	-0.686	-0.607	-0.335	-0.868	-0.112	0.051	0.921	0.906	0.066	0.387	-0.282	-0.595	0.032	-1.47	-1.221	0.144	0.247	1.237	-2.457	-0.304	-0.625	0.766	0.689	0.323	0.181	0.19	0.185	0.516	0.691	1.435	0.803	1.069	1.142	-0.19	-0.406	-0.122	0.299	0.408	1.136	0.541	0.469	0.251	0.93	0.675	0.631	0.719	0.66	0.469	0.407	0.79	0.377	0.082	1.351	0.931	0.897	0.789	0.919	1.455	0.052	2.633	0.913	0.578
9674	IMAGE:814054 || KIAA0040 gene product AA465478 	0.211	0.584	-1.047	-0.135	-1.291	0.212	-0.066	0.729	0.73	2.015	-1.346	-1.042	-0.704	-2.077	0.045	-0.117	-0.088	-0.906	-1.093	-0.627	-0.93	-0.267	-1.352	-1.944	-1.588	-0.331	-0.064	-1.58	-0.38	-0.528	-0.54	-1.595	-1.901	-3.69	-1.201	-2.875	0.095	-0.18	-0.338	-1.549	-0.283	1.859	1.954	0.614	-0.394	-0.381	0.439	1.308	-1.617	-1.985	0.099	0.309	0.189	-0.58	0.579	0.613	2.735	0.181	0.23	0.398	1.081	1.252	0.356	-1.156	0.877	0.601	0.214	-0.099	1.573	1.012	1.096	0.848	0.63	1.419	0.178	0.524	0.232	-0.116	-0.441	0.493	0.643	2.204	2.534	1.206	2.674	0.268	2.362	1.007	-0.148	0.58	1.343	1.464	2.373	0.243	-0.336
11065	IMAGE:769921 || ubiquitin-conjugating enzyme E2C AA430504 	0.223	0.104	0.405	0.094	-0.225	0.151	-0.227	-0.32	0.29	0.757	0.166	-0.666	0.645	0.872	-0.545	0.373	-0.282	0.59	0.548	0.414	0.533	0.831	-0.156	0.489	0.655	0.355	0.699	0.424	-0.218	-0.274	0.862	0.697	0.693	0.946	0.307	0.075	-0.155	0.702	0.834	-0.23	0.463	-0.154	-0.089	0.757	0.653	1.117	-0.273	-1.94	0.095	0.309	0.275	0.52	0.816	0.781	-1.546	0.263	-1.795	-0.244	-0.05	-0.555	-3.098	-1.385	-0.258	-1.156	-0.038	-0.204	0.55	-1.079	-1.942	-1.875	-1.752	-1.329	-1.56	-2.019	-1.868	-2.098	0.588	-1.638	-2.082	-0.866	-0.923	-1.12	-2.002	-0.112	-0.278	-0.134	-2.751	-1.067	-0.861	-0.256	0.061	0.399	0.315	0.53	0.053
