CLID	NAME	EL2-172_Bio_058V0	EL1-131_Bio_013V0	EL2-169_Bio_061V0	EL2-025_Bio_043V0	EL1-140_Bio_015V0	EL2-184_Bio_060V0	EL1-126_Bio_011V0	EL1-012-Bio-003V0	EL1-014_Tissue_001V0	E1-086_Bio_009V0	EL1-164_Bio_019V0	EL1-088_Bio_008V0	EL1-163_Bio_021V0	EL1-016_Tissue_004V0	EL2-048_Bio_045V0	EL3-002_Bio_083V0	EL2-118_Bio_054V0	EL1-261_Bio_028V0	EL3-240_Bio_093V0	EL1-194-022V0	EL1-137_Bio_016V0	EL2-121_Bio_057V0	EL1-254_Bio_027V0	EL2-061_Bio_049V0	EL1-124_Bio_014V0	EL2-230_Bio_065V0	EL2-182_Bio_062V0	EL1-193_Bio_023V0
116211	116211	0.5	0.11	0.18	0.31	-0.83	-0.17	3.03	0.186	0.06	-0.94	-0.14	0.15	-0.35	0.01	0.11	0	-1.4	-0.65	-0.8	-0.33	-0.34	-0.93	-0.52	-0.18	-0.01	1.01	0.26	0.88
9258	9258	0.09	0.21	-0.08	0.28	0.258	-0.157	0.04	0.03	-0.03	0.37	-0.08	-0.21	-0.196	-0.03	-0.19	-0.19	-0.39	-0.47	-0.15	0.02	-0.16	0.044	-0.05	-0.39	-0.25	-0.23	0.11	0.02
257000	257000	0.07	-0.38	1.19	0.98	-0.04	0.71	-1.25	-0.26	1.18	1.55	1.05	0.89	-0.25	0.52	0.37	-0.14	-1.72	0.16	0.72	-0.88	-1.28	-0.04	-0.41	-2.21	-1.11	1.76	-1.03	0.89
89882	89882	0.4	0.645	0.3	0.47	0.163	0.24	-0.126	0.3	0.13	0.088	-0.01	0.408	-0.05	0.42	0.06	0.01	-0.146	-0.31	-0.12	0.04	-0.12	-0.48	-0.02	0.055	-0.04	-0.14	-0.08	-0.02
8365	8365	0.05	-0.95	-0.26	-0.83	-0.78	-0.15	-0.8	0.019	-0.5	-1.34	0.89	-0.23	-0.48	0.68	0.25	0	0.23	-0.06	0.53	0	0.69	1.63	0.23	1.27	0.04	0.45	0.02	-0.1
65125	65125	0.74	0.34	0.72	0.26	0.52	-0.19	0.27	0.014	-0.2	0.05	-0.05	0.09	0.32	0	-0.08	-0.15	-0.16	0.09	-0.68	-0.09	0.19	-0.33	-0.15	-0.07	-0.04	0.09	0.09	-0.19
9456	9456	0.68	-0.78	0.71	-0.27	0.43	0.19	-0.09	0.48	0.8	-1.65	0.41	0.35	0.73	0.45	-0.45	-0.16	-2.1	0.029	1.06	-0.62	-1.22	-1.6	-1.81	0.35	-0.65	1.11	0.27	0.47
7572	7572	0.28	-1.26	-1.2	-0.84	-0.21	0.44	-0.68	0.45	-0.12	-0.87	0.2	-0.02	0.34	-0.05	-0.81	0.02	0.97	0.04	0.84	0.91	0.47	0.62	0.55	0.62	0.26	0.35	0.35	-0.07
79861	79861	-0.6	-0.62	0.32	0.26	-0.75	-0.105	-0.48	-0.38	-1.15	-0.95	0.07	0.14	-0.45	0.24	-0.21	0.02	0.26	0.2	0.38	0.13	0.16	0.051	-0.07	0.57	-0.17	-0.75	0.22	-0.1
64710	64710	-0.92	-0.6	-0.86	-0.16	-1.01	-0.13	0.34	-0.14	0.05	0.31	-0.44	-0.63	-0.08	-0.79	0.62	0.94	0.27	-0.46	0.73	1.06	0.37	1.09	0.31	-0.3	-0.05	0.62	0.36	0.19
3557	3557	0.19	-0.03	0.03	0.92	0.98	0.96	1.66	0.67	0.68	0.05	0.61	-0.14	-0.29	-0.18	-0.83	-0.67	-0.29	-0.9	-1.16	-0.03	-0.66	0.51	-0.94	-0.55	-0.45	1.38	-1.55	0.47
9662	9662	-0.25	0.53	-0.33	-0.12	-0.34	0.05	0.16	-0.68	-0.86	-0.07	-0.47	-0.4	-0.17	-0.01	-0.12	0.09	0	-0.28	0.03	0.39	0.17	0.13	0.24	0.02	0.61	0.2	0.04	-0.46
7471	7471	0.26	0.33	0.25	0.12	0.09	-0.009	0.19	-0.142	0.11	-0.32	0.04	-0.19	-0.02	0	-0.3	-0.28	-0.34	-0.3	-0.26	-0.22	-0.06	-0.161	0.04	-0.26	0.01	0.1	0	0.04
2617	2617	-0.41	0.39	0.03	-0.18	0.6	0.32	0.63	0.17	0.48	0.59	1.04	0.49	-0.13	-0.39	0.14	-0.93	-0.69	-0.51	-0.07	-0.01	0.79	-0.71	-0.39	0.15	0.11	0.33	-0.03	0.01
23020	23020	-0.87	-1.55	-1.04	-0.23	-0.47	-0.21	0.02	-0.01	0.32	-0.31	0.43	-0.19	-0.21	-1.08	0.05	0.11	1.19	0.13	0.08	0.7	0.78	0.05	0.45	0.1	0.01	-0.06	-0.13	0.37
51258	51258	-1.24	-1.78	-1.52	-0.42	0.35	-0.46	-1.03	-0.45	0.23	-0.01	0.01	-0.87	-0.43	-0.39	-0.01	0.42	0.81	-0.74	0.13	0.53	0.78	0.61	0.35	0.28	-0.13	0.54	0.43	0.15
3035	3035	-0.27	-0.27	-0.31	-0.31	-0.59	0.16	-0.37	0.06	0.32	0.07	0.22	0.06	-0.21	-0.03	0.2	0.23	0.36	0.28	0.05	-0.11	0.39	0.22	-0.03	0.17	0.09	-0.19	-0.24	0.11
8727	8727	-1.36	-1.61	-1.06	-0.83	-2.44	-1.74	-0.41	-0.36	0.01	-0.39	0.15	-0.1	-0.11	-0.33	0.27	0.82	0.09	-0.45	-0.47	-0.01	1.48	0.87	0.39	0.06	-0.11	0.12	0.17	0.1
55810	55810	-0.48	-0.52	-0.29	-0.43	-0.93	0.3	0.25	-0.08	-0.12	-0.29	-0.07	-0.67	0.07	-0.18	-0.42	0	0.61	0.38	-0.23	0.48	0.99	0.07	-0.22	0.26	0.43	0.28	0.61	0
1421	1421	0.61	0.4	0.08	0.17	-0.09	-0.15	0.01	-0.17	0.22	0.43	-0.15	-0.08	0.368	0.35	-0.16	0.11	-0.59	-0.4	0	-0.18	-0.05	-0.58	-0.14	-0.08	-0.19	-0.29	-0.33	0
4259	4259	-0.91	-1.46	-0.77	-0.65	-0.28	-0.43	0.56	-0.09	-0.24	0.37	-0.09	-0.01	0.03	-0.51	-0.39	-0.45	-0.44	0.81	-0.15	0.58	0.24	1.85	0.88	0.44	1.43	0.37	0.6	0.86
4835	4835	-0.48	-0.56	-0.76	-0.5	-0.34	0.08	-1	-0.73	-0.49	-0.66	0.04	0.69	-0.24	0.11	0.48	0.3	1.18	1.04	-0.18	0.52	0.37	1.02	0.28	0.14	-0.06	0.13	0.21	0.5
7832	7832	-0.29	-0.56	-0.25	-0.01	0	0.16	0.08	0	-0.88	-0.07	0.25	-0.88	-0.89	-0.3	-0.62	-0.48	0.46	-0.01	0.63	0.4	-0.75	0.31	0.26	0.09	0.52	-0.4	-0.19	-0.09
10038	10038	-0.76	-0.99	-0.43	-0.23	-0.68	-0.06	-0.48	-0.53	0.21	-0.27	-0.15	0.19	-0.04	0.31	0.07	0.26	0.91	0.33	-0.44	0.28	0.1	-0.34	0.18	0.51	0.34	0.35	0.24	-0.33
55089	55089	0.1	0	0.27	0.57	0.335	0.326	0.285	0.02	0.07	0.005	0.06	0.111	0.11	0.2	-0.08	-0.13	-0.49	-0.98	0.19	-0.05	-0.02	-0.004	-0.06	-0.153	-0.17	-0.11	-0.05	-0.01
7156	7156	0.44	0.43	0.7	0.38	0.23	0.31	0.2	-0.33	-0.14	-0.08	0.14	-0.05	0.09	0.26	0.07	0.14	-0.1	0.16	-0.08	-0.16	-0.08	-0.34	0.1	-0.86	-0.23	-0.13	0.12	0
84229	84229	0.26	0.09	0.4	0.41	-0.2	-0.382	0	0.03	0.05	0.24	-0.14	0	-0.462	0.25	-0.04	0.01	-0.63	-0.81	-0.07	-0.16	-0.02	-0.221	-0.1	-0.32	-0.15	-0.09	-0.12	-0.08
54733	54733	0.3	0.91	0.21	0.52	1.45	-0.3	0.07	0.036	0.74	0.34	0.83	1.55	0.16	-0.64	0.46	-0.08	-0.61	-0.15	-0.55	-0.32	-0.13	-0.48	0.85	-0.42	-0.9	-0.24	-0.25	0.9
9129	9129	-0.82	-0.37	-1.38	-0.06	0.5	0.2	0.23	-0.1	-0.4	0.29	0.18	-0.62	-0.02	-0.61	-0.3	-0.39	1.06	0.21	0.85	0.36	1.22	0.53	-0.7	-0.22	0.92	0.2	0.08	-0.39
79774	79774	0.39	0.56	-0.81	-0.14	-0.49	-0.57	-0.98	-0.45	-0.23	-0.06	-0.08	-0.56	-0.6	0.17	0.3	0.36	1.49	0.4	0.47	0.06	0.81	0.61	-0.33	0.14	0.3	0.29	0.76	0.34
318	318	-0.59	-0.9	-0.78	-0.71	-0.42	0.42	-0.33	0	0.22	0.25	-0.54	-0.31	-0.63	0.08	0.41	0.23	1.41	0.08	0.26	0.25	0.34	0.49	0.61	0.56	-0.53	-0.06	0.63	0.32
10151	10151	-0.28	-0.76	-1.02	-0.77	-0.46	-0.61	-0.46	-0.12	0	0	-0.16	0.01	-0.2	-0.58	0.39	0.47	0.7	-0.4	0	0.64	0.1	-0.03	0.28	0.28	-0.25	0.03	0.31	0.27
51129	51129	-0.93	0.06	-0.37	-0.3	-0.37	0.67	2.81	1.06	-0.31	-0.03	1.76	0.93	3.23	0.63	0.51	0.03	-1.56	-0.65	-1.09	-0.31	0.76	-1.27	-0.98	-1.55	-0.32	0.58	-1.77	-0.1
6773	6773	0.24	0.87	0.71	0.23	0.17	0.242	0.1	-0.26	-0.01	0.01	0.3	0.26	0.014	0.12	-0.57	-0.46	-0.16	-0.15	-0.12	-0.25	-0.16	-0.21	-0.06	-0.25	0.07	0.04	-0.01	-0.11
6117	6117	-0.77	-1.61	-0.99	-0.3	0.16	-0.08	-0.23	0.2	0.18	0.4	-0.29	0.22	-0.42	-0.74	-0.02	0.58	0.49	0.08	-0.33	-0.28	0.95	0.25	0.09	0.24	0.34	0.04	0.18	-0.63
10401	10401	-0.69	-0.21	-1.18	0.07	-0.22	-0.12	0	-0.08	-0.88	0.22	-0.38	-0.29	0.46	-0.3	0	-0.23	0.67	0.76	0.18	0.35	0.16	0.77	-0.14	0.06	1.25	0.59	0.35	-0.24
80022	80022	0.69	0.9	0.14	0.57	-0.13	1.12	1.18	0.03	-0.06	0.08	-0.1	-0.13	0.57	-0.34	-0.62	-0.82	-1.01	-0.36	0.03	-0.08	-0.84	-0.21	-0.26	0.01	0.27	-0.01	-0.27	-0.21
5889	5889	-0.23	-0.45	-0.09	-0.35	-1.16	0.01	-0.93	-0.29	0.22	-0.1	-0.12	0.13	0.27	-0.27	0.8	0.91	0.89	0.79	1.31	-0.42	-0.46	1.17	0.51	0.5	0.5	-0.16	-0.3	-0.11
8361	8361	-0.21	-0.25	0.02	-0.96	-0.63	-0.57	-0.87	-0.188	-0.57	-1.29	0.86	-0.14	-0.86	0.94	0.43	0.36	0.53	-0.71	0.6	-0.11	0.96	1.75	0.46	1.37	-0.04	0.49	0.02	-0.04
648164	648164	0.305	-0.875	-0.365	-0.585	-0.84	-0.88	-0.805	-0.1145	-0.97	-0.55	-0.03	0.375	-1.09	0.52	0.77	0.575	0.905	0.24	1.015	0.45	2.85	1.025	0.27	0.72	-0.165	0.695	0.27	-0.13
6827	6827	0.09	0.03	0.03	0.01	-0.47	-0.6	-0.18	0.16	-0.66	-0.67	0.15	-0.38	-0.5	-0.18	0.05	0.39	0.66	-0.34	0.79	0.24	-0.44	0.16	0.84	-0.03	0.61	-0.24	0.1	0.77
5932	5932	-0.09	-0.76	-0.84	-0.08	-0.61	-0.99	-0.53	0.25	0.73	0.1	-0.41	-0.01	0.11	0.55	-0.1	1.15	1.56	0.14	-0.06	1.55	1.4	-0.86	0.18	0.11	0.06	0.51	0.17	-0.71
51659	51659	0.08	-0.54	-0.62	-0.19	-0.77	-0.32	-1.27	-0.98	0.45	-0.36	-0.64	-0.76	0.72	0	0.37	0.51	1.31	0.42	0.36	0.97	1.47	0.18	0.08	0	0.09	-0.16	-0.15	0.83
84669	84669	-1.26	0.018	-0.84	-0.52	-0.66	-0.66	-0.37	0.5	0.1	0.21	0.02	0	-0.25	-0.31	0.23	0.56	2.15	-0.13	1.02	-0.06	-0.39	1.51	0.53	0.35	0.38	-0.11	0.79	0.38
3248	3248	0.98	0.19	2.07	0.34	0	2.63	0.24	0.95	0.15	-0.04	0.02	-0.83	-1.15	-0.25	0.05	-0.09	-1.44	-0.85	-0.12	-0.34	-0.34	-0.77	-0.4	-0.59	0.28	0.13	2.69	2.18
55506	55506	0.16	0.19	0.41	0.49	-0.17	0.78	0.28	-0.11	0.55	-0.55	0.6	-0.66	0.72	0.69	-0.34	-0.42	-0.85	-0.45	0.17	-0.26	-0.45	-0.79	0	-0.67	0.08	0.53	-0.22	0
27347	27347	-0.24	-1.09	-0.65	-0.03	-0.67	-0.05	-0.65	0.23	-0.77	-0.97	0.23	-0.98	-1.06	-0.16	0.46	0.29	0.91	-0.1	-0.18	0.09	0.44	0.4	0.03	1.43	0.59	0.76	0.53	-0.04
55798	55798	-0.44	-0.51	-0.93	-0.52	0	0.03	-0.67	0.1	0.01	0.28	0.48	0.24	-0.16	-0.06	0.61	0.75	2.96	-0.05	-0.39	0	0.11	1.5	1.18	0.69	0.33	-0.28	-0.1	0.61
2139	2139	-1.51	-0.351	-1.235	-0.32	-0.845	1.1605	0.37	0.1255	0.245	-0.585	0.185	0.001	1.345	-0.065	-1.45	-0.325	-1.2	1.3155	3.19	2.08	2.21	2.07	1.35	0.92	0.71	1.865	-1.3	0.19
