CLID	Name	Pcorr_bronchioid_PLOS.2012_PMID.22590557	Pcorr_magnoid_PLOS.2012_PMID.22590557	Pcorr_squamoid_PLOS.2012_PMID.22590557
1001	CDH3|1001	-0.003852452	-0.510424885	0.959011184
7525	YES1|7525	-0.518507185	0.257512684	0.067413744
9133	CCNB2|9133	-0.57127454	0.400673255	0.501774993
2316	FLNA|2316	0.149620068	-0.479827862	0.371502724
3131	HLF|3131	0.506737044	-0.150481615	-0.216272985
8639	AOC3|8639	0.482458941	-0.231678193	-0.010900666
28977	MRPL42|28977	-0.522090052	0.335156977	0.182294093
1118	CHIT1|1118	0.616295133	-0.310400317	0.100283534
5118	PCOLCE|5118	-0.006180904	-0.301612261	0.591638731
55636	CHD7|55636	-0.288104792	0.407276444	-0.044564854
11222	MRPL3|11222	-0.429487891	0.225427424	0.173089444
11010	GLIPR1|11010	0.037157668	-0.337097284	0.610221755
1289	COL5A1|1289	-0.435088728	-0.117646514	0.75223546
51297	PLUNC|51297	-0.251483548	0.669075426	-0.482273593
2	A2M|2	0.606847626	-0.27841136	-0.10385859
23560	GTPBP4|23560	-0.350728012	0.341252505	0.188369745
26053	AUTS2|26053	0.569132086	-0.565476883	-0.684287085
4316	MMP7|4316	0.358936966	-0.772984992	0.448294507
6241	RRM2|6241	-1.237663454	0.469476517	0.802149465
7803	PTP4A1|7803	-0.264504363	0.445311154	-0.226043067
597	BCL2A1|597	-0.076715126	-0.194676601	0.890717604
26973	CHORDC1|26973	-0.33511073	0.269624641	0.119684691
6039	RNASE6|6039	0.28398484	-0.496935821	0.648155918
1293	COL6A3|1293	-0.157309916	-0.252171927	0.566705799
54504	CPVL|54504	0.225711021	-0.477751256	0.407955476
55013	CCDC109B|55013	-0.08016526	-0.164220315	0.559472702
360	AQP3|360	0.539319516	0.017567304	-1.267477911
51296	SLC15A3|51296	0.213747646	-0.366273973	0.237540882
2305	FOXM1|2305	-0.595234354	0.39434394	0.364512286
891	CCNB1|891	-1.023216799	0.530705813	0.542098415
1318	SLC31A2|1318	0.043541035	-0.286153877	0.537420022
962	CD48|962	0.286069643	-0.301086492	0.300415968
355	FAS|355	0.065247364	-0.336309261	0.467944882
22974	TPX2|22974	-0.761175506	0.42290435	0.731929753
834	CASP1|834	0.080615102	-0.353220569	0.681693735
6441	SFTPD|6441	1.089120677	-0.515165169	-0.840922055
5214	PFKP|5214	-0.609535207	0.268234026	0.566940593
56521	DNAJC12|56521	-0.362884468	1.350268716	-0.471338895
21	ABCA3|21	0.795255501	-0.258379273	-0.819168124
171546	C14orf147|171546	-0.532394989	0.585393989	-0.266535776
2877	GPX2|2877	-0.042583476	1.155733939	-0.487064734
6355	CCL8|6355	-0.165894277	-0.124632126	0.782890589
10484	SEC23A|10484	-0.379222959	0.192468711	0.401080414
1043	CD52|1043	0.470904567	-0.60681868	0.354052431
11343	MGLL|11343	0.399893701	-0.367282491	-0.309794643
1755	DMBT1|1755	0.780255603	-0.269883014	-0.506465826
9447	AIM2|9447	-0.245224294	-0.240567158	1.190066019
5836	PYGL|5836	-0.436225113	0.075500101	0.624631425
11197	WIF1|11197	0.61239449	-0.00756489	-0.433255588
6812	STXBP1|6812	0.305578628	0.002493078	-0.594666624
131578	LRRC15|131578	-0.17263659	-0.100424662	0.754808745
481	ATP1B1|481	0.026326229	0.244762612	-0.584801084
1536	CYBB|1536	0.154316482	-0.302452369	0.560520098
4239	MFAP4|4239	0.880476772	-0.492693294	0.035452019
6286	S100P|6286	-1.327433965	1.545031749	-0.64410381
4318	MMP9|4318	-0.257023865	-0.271273006	0.822023757
9353	SLIT2|9353	0.417248562	-0.296060261	-0.014718834
9735	KNTC1|9735	-0.351744998	0.244420369	0.303849615
81929	SEH1L|81929	-0.452486045	0.397478738	-0.026536536
6347	CCL2|6347	0.079447656	-0.411577737	0.532233046
3937	LCP2|3937	0.053028297	-0.227304148	0.655709309
27286	SRPX2|27286	-0.159841656	-0.196457461	1.003878677
6596	HLTF|6596	-0.490209607	0.359408647	0.282605771
9928	KIF14|9928	-0.377782957	0.261531996	0.320134137
26354	GNL3|26354	-0.548536274	0.261060704	0.061060709
2730	GCLM|2730	-0.429017121	0.310879946	0.306141056
79098	C1orf116|79098	1.061764541	-0.506512303	-0.51563048
51338	MS4A4A|51338	-0.007042693	-0.411273183	1.111719595
23603	CORO1C|23603	-0.196177085	-0.03709853	0.525964425
10516	FBLN5|10516	0.428552584	-0.293619281	-0.235668682
2705	GJB1|2705	0.491167555	-0.045483662	-0.592071864
53827	FXYD5|53827	0.256442445	-0.565902902	0.3588402
28998	MRPL13|28998	-0.576798925	0.408382722	0.24911475
1806	DPYD|1806	0.210714667	-0.521106034	0.507288196
80736	SLC44A4|80736	0.298978821	0.055062589	-0.845916615
2162	F13A1|2162	0.231223021	-0.464832915	0.771808498
4005	LMO2|4005	0.202092856	-0.299387502	0.135740051
3113	HLA-DPA1|3113	0.403068722	-0.77024196	0.242956516
7433	VIPR1|7433	0.426390677	-0.150561127	-0.285179416
3109	HLA-DMB|3109	0.431613043	-0.559055268	0.373850866
6890	TAP1|6890	-0.153821503	-0.101774031	0.694926322
2212	FCGR2A|2212	0.080746051	-0.378847926	0.704420731
51330	TNFRSF12A|51330	0.138407056	-0.327089779	0.317050193
9689	BZW1|9689	-0.452680404	0.204947547	0.235136407
23492	CBX7|23492	0.4491219	-0.302461515	-0.10289978
25907	TMEM158|25907	-0.285267887	-0.015223347	0.796642214
6591	SNAI2|6591	-0.193201457	-0.095572234	1.010221089
221395	GPR116|221395	1.161361774	-0.471185931	-0.467457877
4256	MGP|4256	0.709431346	-0.464166387	-0.174369914
9055	PRC1|9055	-1.061865773	0.542792591	0.507554719
3613	IMPA2|3613	-0.153902839	0.499563532	-0.68103457
10128	LRPPRC|10128	-0.394750752	0.315232204	0.022321374
60492	CCDC90B|60492	-0.301906239	0.052229512	0.489466329
7045	TGFBI|7045	-0.053305415	-0.406941629	0.983036391
25878	MXRA5|25878	-0.461750621	-0.070200758	0.703329433
4585	MUC4|4585	-0.645698228	0.810084604	-0.301721502
22795	NID2|22795	-0.276713105	-0.017564625	0.623267049
7805	LAPTM5|7805	0.165635835	-0.404418157	0.554595804
7058	THBS2|7058	-0.409314993	-0.057792996	0.772027017
5376	PMP22|5376	0.197019744	-0.297543037	0.442888818
55214	LEPREL1|55214	0.760625603	-0.343206091	-0.35245013
1163	CKS1B|1163	-0.552877442	0.337683906	0.264850472
4501	MT1X|4501	-0.225567634	-0.27196411	0.733840456
55312	RFK|55312	-0.228959898	0.411241625	-0.124797391
3689	ITGB2|3689	0.354674651	-0.622463138	0.657495259
4050	LTB|4050	0.404198167	-0.375043763	0.178380178
3428	IFI16|3428	-0.141308555	-0.282842394	0.649441421
3936	LCP1|3936	0.172601641	-0.347603512	0.512946288
710	SERPING1|710	0.128752295	-0.428241174	0.456481116
2634	GBP2|2634	-0.096651017	-0.142751551	0.79845209
27338	UBE2S|27338	-0.691618188	0.511776844	0.509587194
125	ADH1B|125	1.040607138	-0.341573402	-0.378436716
26585	GREM1|26585	-1.177484295	0.111908028	1.339008294
7177	TPSAB1|7177	0.541101829	-0.387248262	0.221851874
6690	SPINK1|6690	0.876208517	0.787719104	-2.051153333
23234	DNAJC9|23234	-0.464102111	0.261544	0.335635695
1306	COL15A1|1306	-0.521358541	-0.073982057	0.828049846
23213	SULF1|23213	-0.800012743	0.124968808	0.920357521
3119	HLA-DQB1|3119	0.634558891	-0.893059109	0.365848046
3772	KCNJ15|3772	0.873462975	-0.25028328	-0.341768878
6338	SCNN1B|6338	0.619395	-0.045593803	-0.77550502
6357	CCL13|6357	0.212354104	-0.353941304	0.730593464
5054	SERPINE1|5054	-0.225467983	-0.144350237	0.795044034
11151	CORO1A|11151	0.234487241	-0.459552816	0.359468259
6279	S100A8|6279	-0.390193588	-0.273166036	1.293355812
1846	DUSP4|1846	-0.553391565	1.233955916	-0.195158419
1514	CTSL1|1514	-0.270541093	-0.04044696	0.665094565
6515	SLC2A3|6515	-0.107446834	-0.069351007	0.730316763
1292	COL6A2|1292	-0.042548671	-0.354362778	0.811993018
6344	SCTR|6344	0.636707706	-0.16831301	-0.244162927
7443	VRK1|7443	-0.314973757	0.278290485	0.342426685
9246	UBE2L6|9246	-0.01549948	-0.242030539	0.556524639
50486	G0S2|50486	0.040932355	-0.31468362	0.801463576
2350	FOLR2|2350	0.298123904	-0.347060346	0.222006452
10577	NPC2|10577	0.385376241	-0.525326224	-0.087262512
2207	FCER1G|2207	0.049094827	-0.493117647	0.788846615
3148	HMGB2|3148	-0.651947405	0.308874068	0.375998611
11346	SYNPO|11346	0.431385307	-0.355985843	0.045101973
54209	TREM2|54209	0.442393286	-0.388787077	0.174308213
7940	LST1|7940	0.286977854	-0.349480442	0.354810431
1580	CYP4B1|1580	2.124792444	-0.496614353	-1.190480915
972	CD74|972	0.403541567	-0.568282977	0.242253854
1191	CLU|1191	0.64860887	-0.405613622	-0.545223693
7130	TNFAIP6|7130	-0.405283917	0.053546134	0.965440236
56833	SLAMF8|56833	-0.021863318	-0.291435339	0.632569152
11000	SLC27A3|11000	0.527759933	-0.193118245	-0.299445533
51177	PLEKHO1|51177	0.021542288	-0.185080005	0.389621713
7113	TMPRSS2|7113	0.74884364	-0.347442509	-0.661627683
165	AEBP1|165	0.164424286	-0.457007858	0.398826962
8660	IRS2|8660	-0.245526067	0.782383034	-0.412831366
5348	FXYD1|5348	0.501300208	-0.205238285	-0.088157803
963	CD53|963	0.116808621	-0.399310739	0.499643159
1281	COL3A1|1281	-0.60587686	-0.01035679	0.550681608
2146	EZH2|2146	-0.353301902	0.391231036	0.334990727
4175	MCM6|4175	-0.69055726	0.302809244	0.500574742
79023	NUP37|79023	-0.387617672	0.250915664	0.25986234
51072	MEMO1|51072	-0.350790252	0.299920115	0.114235537
3956	LGALS1|3956	-0.097323546	-0.269868103	0.760683008
3376	IARS|3376	-0.393382901	0.190496761	0.172328221
1290	COL5A2|1290	-0.769095658	0.029043122	0.852046579
2938	GSTA1|2938	0.505334074	0.166319744	-0.437617725
5730	PTGDS|5730	0.679674887	-0.626067247	0.070721331
55890	GPRC5C|55890	0.229595512	0.128865531	-0.65649184
7431	VIM|7431	0.273612282	-0.448705028	0.435788962
7371	UCK2|7371	-0.6833526	0.44398586	0.192953507
27324	TOX3|27324	0.429715181	0.239289481	-1.938593926
4830	NME1|4830	-0.494185528	0.304191666	0.167113058
23531	MMD|23531	-0.373672673	0.081469646	0.744454824
81035	COLEC12|81035	0.532390333	-0.571691345	0.169618053
6632	SNRPD1|6632	-0.485003722	0.29491265	0.221877177
5329	PLAUR|5329	-0.218024989	-0.091427429	0.610581015
978	CDA|978	-0.093437479	-0.067613579	0.888332244
4953	ODC1|4953	-0.388620377	0.977673222	-0.186328245
10797	MTHFD2|10797	-0.838036462	0.488967068	0.365443962
9330	GTF3C3|9330	-0.396991595	0.228124152	0.13200516
4719	NDUFS1|4719	-0.443569909	0.359023449	0.061648285
64092	SAMSN1|64092	-0.166422884	-0.378955633	0.790847228
4689	NCF4|4689	0.239842586	-0.394622198	0.316613856
7123	CLEC3B|7123	0.604155376	-0.220169617	-0.317843437
64866	CDCP1|64866	-0.089388385	-0.152261919	0.518369774
9254	CACNA2D2|9254	1.143993751	-0.254825788	-1.187439912
4638	MYLK|4638	0.265590302	-0.46145733	0.40307372
5352	PLOD2|5352	-1.010948238	0.389577841	0.888311352
10568	SLC34A2|10568	0.660979163	-0.474536305	-0.511412299
3815	KIT|3815	-0.149805532	1.032084233	-0.85914812
6897	TARS|6897	-0.5325375	0.270945804	0.160657539
1601	DAB2|1601	0.3812113	-0.396286804	0.303177947
8634	RTCD1|8634	-0.578386255	0.157912046	0.444866964
3115	HLA-DPB1|3115	0.481763379	-0.715339538	0.211295092
10926	DBF4|10926	-0.313756723	0.193956303	0.36756105
4893	NRAS|4893	-0.4622236	0.24938919	0.37220572
1278	COL1A2|1278	-0.429933637	-0.010226627	0.593171934
7791	ZYX|7791	0.053783834	-0.236458328	0.434601233
2267	FGL1|2267	-0.076168319	0.78637665	-0.387424923
23516	SLC39A14|23516	-0.585181179	0.245616293	0.41809329
7203	CCT3|7203	-0.360055672	0.383034499	-0.076408063
5591	PRKDC|5591	-0.509805915	0.259960633	0.115830389
7336	UBE2V2|7336	-0.401306963	0.336715969	0.17048597
10497	UNC13B|10497	0.22368885	0.323837577	-0.853708213
301	ANXA1|301	0.077374626	-0.504005134	0.849198974
2203	FBP1|2203	0.524699978	-0.415564332	-0.134746725
8544	PIR|8544	-0.110566388	0.405832027	-0.214468081
23179	RGL1|23179	0.425121107	-0.344965189	-0.035082914
5321	PLA2G4A|5321	-0.453215223	1.507269116	-0.741568113
5284	PIGR|5284	0.74486167	-0.262644125	-0.344261739
7453	WARS|7453	-0.241895975	-0.017847543	0.62949545
1063	CENPF|1063	-0.399546775	0.329072924	0.335292792
224	ALDH3A2|224	0.089930756	0.322726215	-0.5972344
6363	CCL19|6363	0.724687778	-0.563375422	0.218102422
9123	SLC16A3|9123	-0.3552071	0.002041149	0.56882345
57698	KIAA1598|57698	-0.270113317	0.465807675	-0.286493443
6001	RGS10|6001	-0.026918654	-0.215188699	0.632744575
960	CD44|960	0.214430906	-0.349065552	0.553427502
5805	PTS|5805	-0.41291708	0.288891953	0.090465944
10635	RAD51AP1|10635	-0.357366648	0.270353725	0.336994074
9332	CD163|9332	-0.053971282	-0.420937397	0.950047561
50856	CLEC4A|50856	0.027829973	-0.173816146	0.502275476
10398	MYL9|10398	0.179252546	-0.546201271	0.462368863
397	ARHGDIB|397	0.280344982	-0.359536283	0.149674055
29127	RACGAP1|29127	-0.700576447	0.406750376	0.382148014
3678	ITGA5|3678	-0.048040684	-0.161478011	0.413149163
25903	OLFML2B|25903	-0.276612982	-0.111757234	0.824339745
241	ALOX5AP|241	0.159634477	-0.776098834	0.518339198
2287	FKBP3|2287	-0.412146091	0.312709471	0.060104332
87	ACTN1|87	-0.098652198	-0.106603695	0.485658955
6439	SFTPB|6439	0.423401175	-0.049816865	-1.464746344
4053	LTBP2|4053	0.639664999	-0.489661621	0.108491801
55215	FANCI|55215	-0.349156154	0.308443365	0.268427344
26471	NUPR1|26471	0.318122903	-0.512067077	0.0248933
8140	SLC7A5|8140	-0.648235639	0.424165563	0.175073096
6352	CCL5|6352	0.015016441	-0.306738463	0.882077051
7305	TYROBP|7305	0.392186878	-0.603208478	0.507968762
822	CAPG|822	0.195203417	-0.460327051	0.445972092
6273	S100A2|6273	-0.185102114	-0.176310563	1.226103449
8540	AGPS|8540	-0.361591381	0.288546638	0.287616533
54431	DNAJC10|54431	-0.450674488	0.381307621	0.079991375
1942	EFNA1|1942	0.115168148	0.174208231	-0.586011831
5880	RAC2|5880	0.17304814	-0.337874805	0.478397878
1894	ECT2|1894	-0.760729818	0.67048901	0.413101626
27074	LAMP3|27074	0.668698409	-0.467428419	-0.239140962
7345	UCHL1|7345	-0.374898002	0.852513691	0.094341783
7097	TLR2|7097	0.383482176	-0.501320365	0.418765383
1832	DSP|1832	-0.910640225	0.580911315	0.015652905
3122	HLA-DRA|3122	0.42133039	-0.647244205	0.221336074
54517	PUS7|54517	-0.472537693	0.227448063	0.156330006
10875	FGL2|10875	0.08219189	-0.362655901	0.661227137
9535	GMFG|9535	0.174304522	-0.434333473	0.439343688
27299	ADAMDEC1|27299	-0.245257086	0.045386131	1.244937752
4061	LY6E|4061	0.264080428	-0.507738783	0.25696935
1301	COL11A1|1301	-1.42069994	0.14854119	1.171324893
914	CD2|914	0.142288052	-0.40967927	0.403576335
64231	MS4A6A|64231	0.10588184	-0.387970229	0.529805621
7356	SCGB1A1|7356	2.709663507	-0.674866452	-1.246437051
8630	HSD17B6|8630	1.157857898	-0.228289815	-0.179589025
991	CDC20|991	-0.954278674	0.407265348	0.796977243
54997	TESC|54997	0.12537988	1.069431274	-1.845055528
1556	CYP2B7P1|1556	0.82001843	-0.21670191	-1.04468437
2013	EMP2|2013	0.501177719	-0.258230255	-0.436469311
5047	PAEP|5047	-0.088848452	0.3764988	-0.163992489
10628	TXNIP|10628	0.416227525	-0.356383078	-0.136467251
51673	TPPP3|51673	0.699112568	-0.27079623	-0.344123384
9111	NMI|9111	-0.20037642	-0.011497183	0.443034228
9631	NUP155|9631	-0.417933247	0.351057603	0.404741822
10059	DNM1L|10059	-0.397662463	0.262384482	0.259818654
3796	KIF2A|3796	-0.399855886	0.179439762	0.472521329
1646	AKR1C2|1646	-0.121268662	1.341970185	-0.469205117
4046	LSP1|4046	0.245238761	-0.340502184	0.209113965
8399	PLA2G10|8399	0.499332125	0.034746293	-0.677213091
10213	PSMD14|10213	-0.596190477	0.19332873	0.199313025
51056	LAP3|51056	-0.076131177	-0.109268855	0.582855118
79682	MLF1IP|79682	-0.766155922	0.396520033	0.730143205
11012	KLK11|11012	0.256329969	0.069749033	-0.638122508
6996	TDG|6996	-0.380757176	0.503468422	0.061627218
1436	CSF1R|1436	0.200632969	-0.47943495	0.556556603
4688	NCF2|4688	0.147425658	-0.507508037	0.611859934
890	CCNA2|890	-0.368314695	0.26623281	0.602113955
6337	SCNN1A|6337	-0.112189879	0.317801561	-0.468503659
719	C3AR1|719	0.090536996	-0.372495457	0.507258363
2123	EVI2A|2123	0.106863414	-0.366382709	0.749731724
11130	ZWINT|11130	-0.825380874	0.489143342	0.394002398
2995	GYPC|2995	0.22537233	-0.342845362	0.152820232
4085	MAD2L1|4085	-0.663274465	0.504068568	0.633932557
7298	TYMS|7298	-0.662028888	0.368518753	0.679070496
11073	TOPBP1|11073	-0.429121957	0.266339269	0.325765589
3838	KPNA2|3838	-0.60001017	0.278410801	0.239259598
9308	CD83|9308	0.32649976	-0.28076707	0.022061978
6695	SPOCK1|6695	-0.229261444	0.041223538	0.732777498
4436	MSH2|4436	-0.473898138	0.451477787	0.350549936
51203	NUSAP1|51203	-0.571938033	0.325174605	0.284685971
26872	STEAP1|26872	-0.687073177	0.026334131	1.04338047
9914	ATP2C2|9914	0.25062543	0.100248708	-0.586182856
51026	GOLT1B|51026	-0.553188055	0.177832574	0.280846238
3576	IL8|3576	-0.481910413	0.31138579	0.969819629
2633	GBP1|2633	-0.430495348	-0.176874988	1.178454284
9770	RASSF2|9770	0.303113488	-0.370306058	0.318445858
7171	TPM4|7171	-0.168312508	-0.120109968	0.642476355
920	CD4|920	0.251194605	-0.289259673	0.299221827
64236	PDLIM2|64236	0.252902267	-0.339678021	0.407055788
51090	PLLP|51090	0.750131962	-0.297554955	-0.463459226
3430	IFI35|3430	0.035348073	-0.279255724	0.522579998
712	C1QA|712	0.10640971	-0.538383137	0.624102195
8991	SELENBP1|8991	0.831179509	-0.283690771	-1.063755463
1513	CTSK|1513	-0.10857013	-0.164561525	0.929206282
8520	HAT1|8520	-0.604765998	0.23256123	0.438460447
3627	CXCL10|3627	-0.447674888	-0.113998504	1.349538551
2330	FMO5|2330	0.380043863	-0.028252755	-0.981865013
1462	VCAN|1462	-0.812664078	0.194713582	0.801306472
7070	THY1|7070	-0.150122575	-0.12119329	0.567013289
7040	TGFB1|7040	0.187547077	-0.401188783	0.369523383
1359	CPA3|1359	0.774134891	-0.664420289	0.429420409
2621	GAS6|2621	0.28274601	-0.371374405	0.000173784
4502	MT2A|4502	-0.090506636	-0.191208309	0.556786285
24137	KIF4A|24137	-0.733949327	0.350057872	0.692854299
3133	HLA-E|3133	0.19027694	-0.285627887	0.178159935
3912	LAMB1|3912	-0.257987192	-0.133869818	0.822210131
9450	LY86|9450	0.449135697	-0.354196881	0.248332226
4267	CD99|4267	-0.109362585	-0.124062756	0.408526423
4016	LOXL1|4016	0.07633547	-0.342804101	0.632376714
2191	FAP|2191	-0.342851135	-0.07395811	1.1971365
5788	PTPRC|5788	0.019564697	-0.396789822	0.634677183
5698	PSMB9|5698	-0.05164739	-0.219088258	0.776960527
3040	HBA2|3040	0.614908983	-0.360387663	-0.475489673
7106	TSPAN4|7106	0.388112169	-0.40171692	0.04510627
3055	HCK|3055	0.260694639	-0.509563367	0.758854267
51208	CLDN18|51208	0.650509621	-0.109295848	-0.277331346
65985	AACS|65985	-0.31196698	0.345758529	-0.244268866
51514	DTL|51514	-0.638726498	0.224596255	0.348752103
9837	GINS1|9837	-0.622106216	0.581581073	0.256661973
55076	TMEM45A|55076	-0.454896165	-0.056138463	0.861866567
60489	APOBEC3G|60489	0.033970371	-0.25062469	0.630767642
8685	MARCO|8685	0.552964575	-0.510001949	0.413920621
390	RND3|390	-0.267736768	-0.194348248	0.877743216
9945	GFPT2|9945	-0.110110091	-0.175005029	0.535444648
29940	DSE|29940	-0.116893829	-0.247105449	1.138194689
57535	KIAA1324|57535	0.109886996	0.15763641	-0.39761482
79625	C4orf31|79625	0.837455608	-0.601690238	-0.581437899
2266	FGG|2266	-1.291641849	2.04441859	-0.828526591
5984	RFC4|5984	-0.565663582	0.335790097	0.618180596
10112	KIF20A|10112	-0.448893869	0.307578329	0.279854388
55854	ZC3H15|55854	-0.371195482	0.18810741	0.135449971
5564	PRKAB1|5564	0.138431637	0.074145537	-0.399207958
9521	EEF1E1|9521	-0.459977943	0.279255437	0.095357867
51012	SLMO2|51012	-0.349554751	0.350738764	-0.023911044
11031	RAB31|11031	-0.093515472	-0.266296456	0.535677737
7444	VRK2|7444	-0.354436202	0.128620959	0.385179936
3161	HMMR|3161	-0.284140393	0.245540805	0.304897942
3108	HLA-DMA|3108	0.563297283	-0.785616091	0.137595534
7296	TXNRD1|7296	-0.524091299	0.573232901	0.207042561
1634	DCN|1634	0.20580132	-0.519250652	0.519603531
9319	TRIP13|9319	-0.59932248	0.455069103	0.456385185
10914	PAPOLA|10914	-0.258277391	0.299082801	0
29887	SNX10|29887	-0.093213764	-0.085553589	0.749790052
11098	PRSS23|11098	-0.201238937	-0.143944347	0.715461939
25800	SLC39A6|25800	-0.465260254	0.263561179	0.114085374
79844	ZDHHC11|79844	0.28916554	0.063938551	-0.631348267
