CLID	NAME	Ca6687 || Present	Ca7367 || Present	Ca9079 || Present	Ca7845 || Present	Ca7722 || Present	Ca7589 || Present	Ca7102 || Present	Ca7811 || Present	Ca11460 || Present	Ca7422 || Present	Ca7493 || Present	Ca8196 || Present	Ca9298 || Present	Ca7732 || Present	Ca7246 || Present	Ca6537 || Present	Ca6388 || Present	Ca8610 || Present	Ca7921 || Present	Ca6257 || Present	Ca8212 || Present	Ca6716 || Present	Ca6014 || Present	Ca7549 || Present	Ca8560 || Present	Ca6144 || Present	Ca7604 || Present	Ca10289 || Present	Ca7357 || Present	Ca8401 || Present	Ca11620 || Present	Ca11442 || Absent	Ca7244 || Absent	Ca11829 || Absent	Ca9909 || Absent	Ca7495 || Absent	Ca7461 || Absent	Ca6125 || Absent	Ca8237 || Absent	Ca10960 || Absent	Ca6042 || Absent	Ca7106 || Absent	Ca7982 || Absent	Ca7214 || Absent	Ca6474 || Absent	Ca6464 || Absent	Ca6188 || Absent	Ca8333 || Absent	Ca6061 || Absent	Ca6366 || Absent	Ca7408 || Absent	Ca6617 || Absent	Ca9126 || Absent	Ca8582 || Absent	Ca9174 || Absent	Ca8174 || Absent	Ca11205 || Absent	Ca10109 || Absent	Ca9539 || Absent	Ca6318 || Absent	Ca9795 || Absent	Ca6146 || Absent	Ca6012 || Absent	Ca13351 || Absent	Ca6206 || Absent	Ca6219 || Absent	Ca10419 || Absent	Ca10481 || Absent	Ca11379 || Absent	Ca6165 || Absent	Ca11570 || Absent	Ca11968 || Absent	Ca10591 || Absent	Ca7609 || Absent	Ca6110 || Absent	Ca9159 || Absent	Ca6021 || Absent	Ca8173 || Absent	Ca9765 || Absent	Ca7366 || Absent	Ca7151 || Absent	Ca10335 || Absent
4094	MAF	0.0516	0.3719	0.5745	0.0543	-0.0094	-0.1458	0.4563	-0.3748	-0.1456	-0.528	0.3185	0.0162	0.017	-1.185	-0.612	-0.788	-0.6626	-0.6202	-0.8916	-0.3671	-0.2068	-0.2181	-0.4031	-1.573	-1.485	-0.0173	0.3901	-0.6209	-1.698	0.1005	0.1526	-0.5852	-0.4148	-0.5538	-0.2236	-0.0547	0.0516	-0.0438	-0.579	0.4486	-0.7677	-0.3841	0.3729	0.6322	0.1668	-0.233	-0.1931	-0.0886	0.1995	-0.2073	0.2708	-0.4132	0.6454	0.5277	-0.3724	0.7153	0.0385	0.076	0.8027	0.5538	0.8986	0.7926	0.3619	-0.2168	0.0709	0.3851	0.0717	0.5209	0.0763	-1.309	-0.8346	-0.3057	0.2986	-0.4947	0.3753	-0.8679	-0.1712	-0.211	-0.461	0.2746	1.108	0.4303
54838	C10orf26	0.3613	0.0821	-0.1344	-0.0997	-0.1284	0.1569	0.3428	-0.1454	-0.2488	-0.3997	-0.06	-0.0129	-0.2307	-0.4116	-0.2539	-0.1534	-0.0549	-1.049	-0.5222	-0.2041	-0.4662	-0.3543	-0.4508	-0.1089	-0.3296	-0.6916	-0.4794	0.0705	-0.8697	-0.2348	-0.0856	-0.3649	-0.0558	0.291	-0.0919	-0.0074	-0.002	0.1124	0.5015	0.4521	0.3743	0.3973	0.3398	-0.1559	0.4374	1.191	0.5171	1.03E-08	-0.0148	0.5674	0.3026	0.1063	0.2461	0.5555	-0.1074	0.2437	0.4735	0.3958	0.2086	0.0834	0.4535	-0.1198	0.5598	0.118	0.1438	0.303	0.2717	0.3735	0.0611	0.1269	-0.0234	0.1655	0.5366	0.1224	0.2673	0.0634	0.6712	0.1326	0.1191	-0.4638	-0.0076	-0.3877
10399	GNB2L1	0.03706	0.06769	-0.9068	-0.2754	1.03E-09	-0.1999	0.2172	-0.7287	-1.473	-0.1101	-0.9003	-0.165	0.2344	-1.154	-0.8231	-1.212	-1.016	-0.2602	-1.038	0.4591	-0.6153	-0.29	-0.5698	-0.3076	0.1036	-0.3682	-0.0287	-0.3339	-0.5179	-0.3023	-0.2546	0.1032	0.2624	0.2335	-0.7302	-0.3463	-0.1458	-0.9859	0.2177	0.2561	0.6993	0.1195	0.5664	0.6853	0.1157	-0.6354	0.3199	0.2813	0.8333	0.2418	0.6714	0.09503	-0.001319	-0.01346	0.5294	0.4738	0.8727	0.1821	0.01143	0.1792	0.006298	0.7723	0.0604	0.6679	0.6812	-0.08436	-0.362	0.157	0.1758	1.657	0.4802	-0.2368	0.1121	0.7736	0.1238	-0.1659	-0.2325	0.02517	0.6447	0.5724	0.9875	-0.04983
56977	STOX2	-0.2292	-0.1591	-1.037	-0.0388	0.08121	-0.07948	0.1413	-0.9056	-1.202	0.3478	-0.7284	0.1154	0.1532	-1.549	-0.8451	-0.8164	-1.195	-0.1417	-1.114	0.5084	-0.5513	-0.1401	-0.5814	-0.5288	0.1721	-0.4887	-0.05093	-0.5139	-0.3532	-0.3338	-0.1585	0.1616	0.3698	0.163	-0.6653	-0.3445	-0.2544	-1.068	0.2897	0.3638	0.5593	0.1258	0.2347	0.6943	-0.1352	-0.5141	-0.1669	0.3848	0.6043	0.5809	0.8148	0.3668	0.1941	-0.05718	0.885	0.3372	0.8223	0.2196	0.04636	0.1321	-0.05681	0.6581	0.03114	0.4769	0.4087	-4.81E-10	-0.2593	0.1261	0.4002	1.595	0.7624	-0.4207	-0.1617	0.8972	0.1097	0.06453	-0.07881	0.1758	0.6259	0.8924	1.065	-0.1336
25794	FSCN2	0.003451	-0.1713	-0.03319	0.4275	-0.02693	-0.3233	-0.4503	-0.8271	-0.9092	0.2185	-0.4132	-0.4258	-0.2604	-0.8311	-0.5805	-0.5657	-0.2877	-0.8668	-1.137	-0.2641	-0.9628	-0.3383	-0.2913	-0.2642	-0.2967	-0.5691	-0.643	-0.8482	1.209	-0.4085	0.1868	-0.07887	0.2638	0.3655	-0.8725	-0.0466	-0.3609	-0.8159	0.5354	0.174	0.04913	0.2146	0.8179	0.7002	0.7666	0.3258	0.2405	0.5412	0.7452	0.3261	-0.1088	0.395	0.4889	0.2869	0.8066	0.6662	1.106	0.3529	0.2775	0.7073	0.493	0.8746	0.6966	0.2301	0.1193	-0.1047	-0.3398	-8.94E-09	0.2878	-0.104	0.3599	-0.7524	-0.5012	0.05788	0.2538	-0.7518	-0.5819	-0.3781	-0.2628	-0.3496	0.9877	0.3339
6228	RPS23	-0.411	-0.05	-0.4086	0.3626	0.5205	-0.0375	-0.1221	-0.4407	-0.8319	-0.0791	-0.2316	-0.7792	-0.0023	-1.043	-0.8946	-0.784	-0.493	-0.7414	-0.957	0.601	-0.8598	-0.6378	-1.212	-0.971	0.3074	-0.8803	-0.7451	-1.038	0.4368	-0.8076	-0.1966	0.2304	0.2635	-8.68E-09	-0.6255	0.064	-0.7173	-0.6302	0.207	0.325	0.5337	0.0345	0.05	0.5355	-0.0968	-0.1014	0.3722	0.1424	0.6077	0.3994	0.7784	0.3893	0.14	0.0127	0.2027	0.5264	0.6028	0.1244	0.3724	0.4181	-0.0232	0.7083	0.1417	0.2597	0.283	0.1483	-0.3716	0.1044	0.3024	-0.1975	0.679	0.0162	-0.247	0.9472	0.0389	-0.149	-0.9196	-0.0208	-0.1068	-0.1841	1.463	0.4178
5728	PTEN	-0.001284	-0.09952	-0.02155	-0.3412	0.1832	-0.3291	0.3832	-0.6573	-1.406	-0.6703	0.04327	-0.6586	-0.2175	-0.5018	-0.6065	-0.6237	-2.184	-0.0134	-1.456	-0.423	-0.6007	-0.2482	-0.9889	-1.06	-0.2513	-1.182	-1.257	-0.4939	-0.9122	-0.757	-0.2894	-1.2	0.04974	-0.1911	0.103	-0.4691	0.1498	0.1244	-0.2451	0.2818	0.05438	0.3265	0.1651	0.82	0.7407	0.5942	0.1817	0.6862	0.645	1.061	0.8105	0.6529	0.1043	0.6024	0.9147	0.506	0.341	0.1186	-0.007974	0.6071	0.1841	0.5084	0.4056	0.285	0.676	0.4283	0.2549	0.6279	0.2023	0.2015	-0.5155	0.462	-0.3479	-0.3525	0.2883	0.2475	0.174	0.4041	-0.06309	0.153	0.3255	-0.2125
145781	Gcom1	-0.2531	-0.1454	-0.3777	-0.1491	-0.3632	0.1105	0.5627	-0.3605	-0.7658	-0.6841	-0.3236	-0.04561	-0.5134	0.1479	-0.4267	-0.7894	-1.331	-0.4478	-0.0581	0.004162	-0.5344	-0.4938	-0.7375	-0.06053	0.1654	-0.3658	-0.01533	0.04074	-0.7448	-0.4284	-0.3142	-0.1703	0.3204	-0.5414	0.2181	-0.1448	0.6564	0.3037	-0.1875	0.1263	-0.07453	-0.7077	0.5857	0.2497	0.05997	-0.1026	0.3049	0.1674	0.5106	0.3922	0.2523	0.5679	0.01746	0.5932	0.05627	0.2837	0.1867	0.2209	-0.006641	0.2615	0.4654	0.9933	-0.02227	8.26E-10	0.5059	0.08603	0.06569	-0.002594	-0.07223	-0.7575	0.2686	0.2119	-0.1014	-0.1258	0.3045	-0.347	-0.3173	0.08645	-0.005443	-0.2698	0.4945	0.1479
27122	DKK3	-1.871	-1.495	1.027	-0.4106	-0.1558	0.1732	-0.4181	-0.9033	-0.8514	-1.095	-1.196	-1.303	-1.078	-2.475	-1.524	0.1519	-0.0396	0.3752	-1.116	-0.2617	-1.076	-0.3019	-1.662	-0.8424	-2.542	-0.099	-0.4897	0.0595	-1.273	-1.475	0.0814	-0.392	0.1282	-0.341	0.0116	0.7602	1.184	0.2581	0.277	0.4289	-0.5759	0.1354	-0.4508	1.616	0.021	0.4691	0.3029	-0.1653	6.39E-09	0.6456	0.7331	-0.3502	1.149	0.808	0.69	1.302	-0.0376	0.678	-0.17	0.6531	1.377	1.718	-0.2087	-0.2305	0.8236	0.3886	-0.0473	1.351	0.4589	-0.7972	-0.7968	1.07	-0.5022	0.5126	1.417	-1.884	1.543	0.8194	-1.194	-0.7308	-1.452	-0.2236
83700	JAM3	-1.201	-0.4024	0.0963	-0.4495	-0.3226	0.218	-0.4687	-0.6333	-0.1716	-1.74	-0.7627	-0.5988	-0.1458	-1.201	-0.7644	0.1461	0.2449	-1.025	-0.2764	-0.7415	-1.395	-0.2975	-0.4513	-1.482	-1.495	-0.3692	-0.8611	-0.5489	-1.06	-1.02	0.01	-0.2311	0.779	-0.1203	-0.5544	0.2863	0.0802	0.1704	0.4781	0.7423	-0.1828	-0.1909	-0.4942	1.084	0.4322	0.1061	0.346	0.3828	0.7582	-0.6945	1.259	0.4712	0.0175	-0.9407	0.2259	0.7129	0.0444	0.5652	0.5715	0.9148	0.3751	0.4924	-1.89E-08	-1.16	0.8968	0.9582	-0.1108	0.2711	-0.3909	-0.6712	0.0627	-0.0102	0.5701	1.173	0.7053	-0.7363	0.4967	0.6747	0.3726	0.5267	0.5684	-0.067
5159	PDGFRB	-1.823	-0.9457	0.5287	-0.3466	0.6211	-0.5543	0.3441	-0.3726	-0.1124	-1.14	-0.8236	-1.403	-0.3612	-2.293	-0.7698	0.2349	-0.2836	-1.6	-0.9586	0.06169	-1.281	-0.6559	-1.036	-1.74	-1.772	-1.05	-2.081	-0.7484	-2.264	-1.188	-0.2168	-1.107	-0.7878	-0.3149	-0.2051	0.08223	0.1163	0.2851	1.944	0.6832	-0.3209	-0.04469	-1.609	1.16	0.9563	0.3323	1.067	0.5768	0.5744	-0.1748	0.857	0.311	-0.1019	0.4815	0.3315	0.7036	0.8327	1.092	0.7834	0.973	0.8137	-0.7089	0.6017	0.3072	0.5333	0.6405	0.566	0.9587	0.2292	0.09646	-0.2178	0.4563	-0.0976	0.9089	0.5424	-0.7431	1.071	0.1084	0.283	-0.06189	-1.421	-1.003
80031	SEMA6D	-0.5248	-0.1359	0.2051	-0.0865	-1.412	0.1674	0.45	-1.053	1.651	-1.533	-1.235	-0.2019	-0.9203	-0.8441	-0.7409	-0.1101	-1.535	-0.9172	-0.9877	-1.7	-2.134	-0.5777	-1.234	-0.2026	-0.9909	-0.9495	-0.6352	-0.831	-0.6961	-0.3451	0.4195	1.112	1.302	-0.1842	-0.7405	0.01431	-0.1654	0.4131	-1.919	1.306	3.693	0.3062	3.68	2.4	3.45	1.583	0.07724	1.509	1.365	2.325	1.456	2.458	-0.2185	1.255	3.108	2.237	0.8487	1.115	0.6306	0.9876	1.402	3.544	1.358	0.2997	2.078	0.0417	0.9908	1.117	0.4917	-0.9739	-0.6021	-0.3611	0.02556	0.1188	0.2059	-1.202	0.2719	-0.6848	-1.388	-1.686	-2.104	-0.8251
